s,m/s,,s
Time,error,iter,cputime
 2.940E+00, 9.892E-05, 1.391E+02, 2.107E+03
 2.960E+00, 9.916E-05, 1.318E+02, 2.132E+03
 2.980E+00, 9.895E-05, 1.274E+02, 2.159E+03
 3.000E+00, 9.909E-05, 1.317E+02, 2.186E+03
 3.020E+00, 9.894E-05, 1.251E+02, 2.213E+03
 3.040E+00, 9.899E-05, 1.327E+02, 2.240E+03
 3.061E+00, 9.908E-05, 1.324E+02, 2.268E+03
 3.081E+00, 9.909E-05, 1.395E+02, 2.294E+03
 3.100E+00, 9.918E-05, 1.453E+02, 2.323E+03
 3.121E+00, 9.929E-05, 1.244E+02, 2.353E+03
 3.140E+00, 9.906E-05, 1.336E+02, 2.381E+03
 3.161E+00, 9.889E-05, 1.212E+02, 2.407E+03
 3.181E+00, 9.905E-05, 1.240E+02, 2.434E+03
 3.201E+00, 9.903E-05, 1.310E+02, 2.465E+03
 3.220E+00, 9.911E-05, 1.312E+02, 2.495E+03
 3.240E+00, 9.892E-05, 1.237E+02, 2.523E+03
 3.261E+00, 9.889E-05, 1.181E+02, 2.550E+03
 3.280E+00, 9.907E-05, 1.377E+02, 2.576E+03
 3.301E+00, 9.904E-05, 1.223E+02, 2.602E+03
 3.321E+00, 9.887E-05, 1.256E+02, 2.631E+03
 3.341E+00, 9.888E-05, 1.210E+02, 2.660E+03
 3.361E+00, 9.864E-05, 1.194E+02, 2.689E+03
 3.381E+00, 9.892E-05, 1.139E+02, 2.716E+03
 3.400E+00, 9.894E-05, 1.268E+02, 2.742E+03
 3.421E+00, 9.898E-05, 1.147E+02, 2.770E+03
 3.440E+00, 9.918E-05, 1.279E+02, 2.799E+03
 3.461E+00, 9.907E-05, 1.159E+02, 2.828E+03
 3.480E+00, 9.899E-05, 1.211E+02, 2.855E+03
 3.500E+00, 9.912E-05, 1.278E+02, 2.883E+03
 3.521E+00, 9.911E-05, 1.408E+02, 2.910E+03
 3.540E+00, 9.888E-05, 1.331E+02, 2.937E+03
 3.561E+00, 9.885E-05, 1.199E+02, 2.963E+03
 3.580E+00, 9.917E-05, 1.414E+02, 2.989E+03
 3.600E+00, 9.904E-05, 1.288E+02, 3.016E+03
 3.620E+00, 9.884E-05, 1.407E+02, 3.041E+03
 3.640E+00, 9.903E-05, 1.315E+02, 3.066E+03
 3.660E+00, 9.921E-05, 1.337E+02, 3.092E+03
 3.681E+00, 9.896E-05, 1.417E+02, 3.119E+03
 3.700E+00, 9.885E-05, 1.225E+02, 3.145E+03
 3.720E+00, 9.898E-05, 1.312E+02, 3.173E+03
 3.741E+00, 9.915E-05, 1.241E+02, 3.200E+03
 3.760E+00, 9.894E-05, 1.352E+02, 3.229E+03
 3.780E+00, 9.906E-05, 1.289E+02, 3.258E+03
 3.800E+00, 9.903E-05, 1.172E+02, 3.286E+03
 3.820E+00, 9.889E-05, 1.218E+02, 3.314E+03
 3.841E+00, 9.899E-05, 1.124E+02, 3.340E+03
 3.861E+00, 9.904E-05, 1.204E+02, 3.367E+03
 3.880E+00, 9.901E-05, 1.291E+02, 3.395E+03
 3.900E+00, 9.904E-05, 1.269E+02, 3.422E+03
 3.920E+00, 9.890E-05, 1.279E+02, 3.451E+03
 3.941E+00, 9.914E-05, 1.269E+02, 3.478E+03
 3.960E+00, 9.885E-05, 1.280E+02, 3.504E+03
 3.980E+00, 9.911E-05, 1.350E+02, 3.529E+03
 4.001E+00, 9.884E-05, 1.283E+02, 3.554E+03
 4.021E+00, 9.901E-05, 1.183E+02, 3.578E+03
 4.041E+00, 9.900E-05, 1.226E+02, 3.602E+03
