s,m/s,,s
Time,error,iter,cputime
 2.640E+00, 1.826E-15, 1.000E+00, 3.416E+03
 2.661E+00, 1.870E-15, 1.000E+00, 3.463E+03
 2.681E+00, 2.538E-15, 1.000E+00, 3.512E+03
 2.700E+00, 1.993E-15, 1.000E+00, 3.566E+03
 2.721E+00, 2.072E-15, 1.000E+00, 3.624E+03
 2.740E+00, 1.892E-15, 1.000E+00, 3.684E+03
 2.760E+00, 1.654E-15, 1.000E+00, 3.741E+03
 2.781E+00, 1.655E-15, 1.000E+00, 3.797E+03
 2.801E+00, 1.609E-15, 1.000E+00, 3.852E+03
 2.821E+00, 1.554E-15, 1.000E+00, 3.904E+03
 2.840E+00, 1.683E-15, 1.000E+00, 3.954E+03
 2.860E+00, 1.637E-15, 1.000E+00, 4.003E+03
 2.880E+00, 1.776E-15, 1.000E+00, 4.050E+03
 2.901E+00, 1.678E-15, 1.000E+00, 4.096E+03
 2.921E+00, 1.776E-15, 1.000E+00, 4.142E+03
 2.940E+00, 1.673E-15, 1.000E+00, 4.187E+03
 2.961E+00, 1.734E-15, 1.000E+00, 4.237E+03
 2.981E+00, 1.727E-15, 1.000E+00, 4.285E+03
 3.000E+00, 1.776E-15, 1.000E+00, 4.330E+03
 3.021E+00, 1.776E-15, 1.000E+00, 4.377E+03
 3.040E+00, 1.732E-15, 1.000E+00, 4.426E+03
 3.060E+00, 1.776E-15, 1.000E+00, 4.478E+03
 3.080E+00, 1.663E-15, 1.000E+00, 4.534E+03
 3.100E+00, 2.130E-15, 1.000E+00, 4.591E+03
 3.120E+00, 1.865E-15, 1.000E+00, 4.643E+03
 3.140E+00, 1.732E-15, 1.000E+00, 4.693E+03
 3.161E+00, 1.861E-15, 1.000E+00, 4.745E+03
 3.181E+00, 1.776E-15, 1.000E+00, 4.797E+03
 3.201E+00, 1.599E-15, 1.000E+00, 4.848E+03
 3.221E+00, 1.733E-15, 1.000E+00, 4.899E+03
 3.240E+00, 1.678E-15, 1.000E+00, 4.947E+03
 3.261E+00, 1.647E-15, 1.000E+00, 4.997E+03
 3.281E+00, 1.692E-15, 1.000E+00, 5.051E+03
 3.301E+00, 1.776E-15, 1.000E+00, 5.104E+03
 3.321E+00, 1.730E-15, 1.000E+00, 5.155E+03
 3.340E+00, 1.776E-15, 1.000E+00, 5.203E+03
 3.360E+00, 1.870E-15, 1.000E+00, 5.251E+03
 3.381E+00, 1.776E-15, 1.000E+00, 5.301E+03
 3.400E+00, 1.870E-15, 1.000E+00, 5.350E+03
 3.420E+00, 2.153E-15, 1.000E+00, 5.402E+03
 3.440E+00, 2.503E-15, 1.000E+00, 5.458E+03
 3.461E+00, 1.817E-15, 1.000E+00, 5.514E+03
