s,m/s,,s
Time,error,iter,cputime
 3.280E+00, 1.320E-02, 7.421E+00, 2.884E+03
 3.300E+00, 1.370E-02, 7.579E+00, 2.914E+03
 3.320E+00, 1.363E-02, 6.825E+00, 2.944E+03
 3.340E+00, 1.283E-02, 6.682E+00, 2.976E+03
 3.360E+00, 1.296E-02, 6.525E+00, 3.009E+03
 3.380E+00, 1.322E-02, 6.364E+00, 3.042E+03
 3.401E+00, 1.376E-02, 6.500E+00, 3.073E+03
 3.420E+00, 1.350E-02, 6.546E+00, 3.105E+03
 3.440E+00, 1.327E-02, 6.458E+00, 3.140E+03
 3.460E+00, 1.271E-02, 6.036E+00, 3.175E+03
 3.480E+00, 1.245E-02, 6.000E+00, 3.207E+03
 3.500E+00, 1.233E-02, 5.818E+00, 3.238E+03
 3.521E+00, 1.140E-02, 5.870E+00, 3.269E+03
 3.540E+00, 1.160E-02, 6.203E+00, 3.300E+03
 3.561E+00, 1.265E-02, 5.498E+00, 3.330E+03
 3.581E+00, 1.266E-02, 6.160E+00, 3.359E+03
 3.600E+00, 1.275E-02, 6.278E+00, 3.386E+03
 3.620E+00, 1.267E-02, 6.053E+00, 3.412E+03
 3.641E+00, 1.357E-02, 6.316E+00, 3.440E+03
 3.661E+00, 1.345E-02, 6.316E+00, 3.468E+03
 3.680E+00, 1.343E-02, 6.500E+00, 3.495E+03
 3.700E+00, 1.373E-02, 6.792E+00, 3.523E+03
 3.720E+00, 1.328E-02, 6.952E+00, 3.555E+03
 3.740E+00, 1.369E-02, 6.571E+00, 3.587E+03
 3.761E+00, 1.334E-02, 6.591E+00, 3.618E+03
 3.780E+00, 1.312E-02, 6.745E+00, 3.649E+03
 3.800E+00, 1.344E-02, 6.421E+00, 3.677E+03
 3.821E+00, 1.353E-02, 6.400E+00, 3.706E+03
 3.841E+00, 1.337E-02, 6.316E+00, 3.735E+03
 3.861E+00, 1.301E-02, 6.316E+00, 3.763E+03
 3.881E+00, 1.335E-02, 6.105E+00, 3.790E+03
 3.900E+00, 1.226E-02, 6.104E+00, 3.819E+03
 3.921E+00, 1.349E-02, 6.529E+00, 3.847E+03
 3.940E+00, 1.320E-02, 6.882E+00, 3.874E+03
 3.961E+00, 1.363E-02, 6.687E+00, 3.902E+03
 3.980E+00, 1.368E-02, 6.500E+00, 3.932E+03
 4.001E+00, 1.346E-02, 6.286E+00, 3.964E+03
 4.020E+00, 1.352E-02, 7.150E+00, 3.995E+03
 4.040E+00, 1.228E-02, 6.150E+00, 4.026E+03
 4.061E+00, 1.185E-02, 6.571E+00, 4.057E+03
 4.080E+00, 1.222E-02, 6.150E+00, 4.088E+03
 4.101E+00, 1.177E-02, 6.000E+00, 4.118E+03
 4.120E+00, 1.110E-02, 5.850E+00, 4.147E+03
 4.140E+00, 1.150E-02, 5.850E+00, 4.175E+03
 4.160E+00, 1.162E-02, 5.841E+00, 4.203E+03
 4.180E+00, 1.227E-02, 6.179E+00, 4.228E+03
 4.201E+00, 1.257E-02, 5.825E+00, 4.252E+03
 4.220E+00, 1.306E-02, 6.133E+00, 4.274E+03
 4.241E+00, 1.346E-02, 6.063E+00, 4.296E+03
 4.260E+00, 1.337E-02, 6.176E+00, 4.321E+03
 4.281E+00, 1.328E-02, 6.556E+00, 4.346E+03
 4.300E+00, 1.380E-02, 6.529E+00, 4.372E+03
 4.320E+00, 1.311E-02, 6.487E+00, 4.398E+03
 4.341E+00, 1.335E-02, 6.400E+00, 4.426E+03
 4.360E+00, 1.305E-02, 6.670E+00, 4.455E+03
 4.380E+00, 1.310E-02, 7.278E+00, 4.482E+03
 4.401E+00, 1.301E-02, 6.824E+00, 4.510E+03
 4.421E+00, 1.278E-02, 6.450E+00, 4.539E+03
 4.441E+00, 1.312E-02, 6.400E+00, 4.568E+03
 4.460E+00, 1.300E-02, 6.668E+00, 4.596E+03
 4.480E+00, 1.303E-02, 6.944E+00, 4.623E+03
 4.501E+00, 1.265E-02, 7.421E+00, 4.653E+03
 4.521E+00, 1.234E-02, 7.017E+00, 4.683E+03
 4.541E+00, 1.295E-02, 6.550E+00, 4.713E+03
 4.560E+00, 1.250E-02, 6.150E+00, 4.742E+03
 4.580E+00, 1.228E-02, 6.100E+00, 4.771E+03
 4.601E+00, 1.174E-02, 6.476E+00, 4.802E+03
 4.621E+00, 1.169E-02, 6.350E+00, 4.833E+03
 4.640E+00, 1.256E-02, 6.112E+00, 4.862E+03
 4.661E+00, 1.211E-02, 6.684E+00, 4.890E+03
 4.680E+00, 1.246E-02, 6.222E+00, 4.919E+03
 4.700E+00, 1.133E-02, 5.833E+00, 4.945E+03
 4.721E+00, 1.165E-02, 5.789E+00, 4.971E+03
 4.740E+00, 1.312E-02, 5.722E+00, 4.996E+03
 4.761E+00, 1.295E-02, 6.355E+00, 5.020E+03
 4.781E+00, 1.300E-02, 6.118E+00, 5.044E+03
 4.801E+00, 1.301E-02, 6.298E+00, 5.068E+03
 4.820E+00, 1.303E-02, 5.778E+00, 5.093E+03
 4.840E+00, 1.309E-02, 6.217E+00, 5.118E+03
 4.860E+00, 1.245E-02, 6.059E+00, 5.142E+03
 4.880E+00, 1.332E-02, 6.294E+00, 5.167E+03
 4.900E+00, 1.249E-02, 6.882E+00, 5.192E+03
 4.920E+00, 1.329E-02, 6.824E+00, 5.217E+03
 4.940E+00, 1.288E-02, 6.588E+00, 5.242E+03
 4.960E+00, 1.345E-02, 6.529E+00, 5.267E+03
 4.980E+00, 1.349E-02, 6.588E+00, 5.294E+03
 5.000E+00, 1.306E-02, 6.882E+00, 5.319E+03
 5.020E+00, 1.338E-02, 7.235E+00, 5.346E+03
 5.041E+00, 1.343E-02, 7.188E+00, 5.374E+03
 5.061E+00, 1.268E-02, 7.000E+00, 5.404E+03
 5.081E+00, 1.311E-02, 7.111E+00, 5.434E+03
 5.101E+00, 1.330E-02, 7.262E+00, 5.465E+03
 5.121E+00, 1.245E-02, 7.916E+00, 5.499E+03
 5.140E+00, 1.276E-02, 6.900E+00, 5.532E+03
 5.161E+00, 1.257E-02, 6.667E+00, 5.563E+03
 5.180E+00, 1.247E-02, 6.524E+00, 5.597E+03
 5.200E+00, 1.192E-02, 6.292E+00, 5.632E+03
 5.221E+00, 1.202E-02, 5.959E+00, 5.666E+03
 5.240E+00, 1.171E-02, 6.286E+00, 5.697E+03
 5.260E+00, 1.188E-02, 6.364E+00, 5.729E+03
 5.281E+00, 1.173E-02, 5.909E+00, 5.761E+03
 5.300E+00, 1.124E-02, 6.538E+00, 5.791E+03
 5.320E+00, 1.296E-02, 6.500E+00, 5.819E+03
 5.340E+00, 1.327E-02, 6.722E+00, 5.846E+03
 5.361E+00, 1.189E-02, 6.778E+00, 5.874E+03
 5.381E+00, 1.301E-02, 6.667E+00, 5.902E+03
