s,m/s,,s
Time,error,iter,cputime
 2.721E+00, 1.961E-15, 1.000E+00, 1.510E+03
 2.740E+00, 1.931E-15, 1.000E+00, 1.535E+03
 2.760E+00, 1.654E-15, 1.000E+00, 1.559E+03
 2.781E+00, 1.655E-15, 1.000E+00, 1.582E+03
 2.801E+00, 1.734E-15, 1.000E+00, 1.605E+03
 2.821E+00, 1.599E-15, 1.000E+00, 1.626E+03
 2.840E+00, 1.636E-15, 1.000E+00, 1.647E+03
 2.860E+00, 1.683E-15, 1.000E+00, 1.667E+03
 2.880E+00, 1.776E-15, 1.000E+00, 1.686E+03
 2.901E+00, 1.727E-15, 1.000E+00, 1.705E+03
 2.921E+00, 1.776E-15, 1.000E+00, 1.724E+03
 2.940E+00, 1.776E-15, 1.000E+00, 1.742E+03
 2.960E+00, 1.776E-15, 1.000E+00, 1.763E+03
 2.981E+00, 1.776E-15, 1.000E+00, 1.784E+03
 3.001E+00, 1.875E-15, 1.000E+00, 1.804E+03
 3.020E+00, 1.776E-15, 1.000E+00, 1.823E+03
 3.041E+00, 1.818E-15, 1.000E+00, 1.845E+03
 3.060E+00, 1.732E-15, 1.000E+00, 1.867E+03
 3.080E+00, 1.634E-15, 1.000E+00, 1.892E+03
 3.101E+00, 2.099E-15, 1.000E+00, 1.919E+03
 3.121E+00, 1.861E-15, 1.000E+00, 1.979E+03
 3.140E+00, 1.861E-15, 1.000E+00, 2.012E+03
 3.161E+00, 1.731E-15, 1.000E+00, 2.035E+03
 3.180E+00, 1.589E-15, 1.000E+00, 2.056E+03
 3.201E+00, 1.732E-15, 1.000E+00, 2.077E+03
 3.221E+00, 1.730E-15, 1.000E+00, 2.098E+03
 3.240E+00, 1.683E-15, 1.000E+00, 2.119E+03
 3.261E+00, 1.652E-15, 1.000E+00, 2.140E+03
 3.281E+00, 1.737E-15, 1.000E+00, 2.163E+03
 3.301E+00, 1.776E-15, 1.000E+00, 2.185E+03
 3.320E+00, 1.776E-15, 1.000E+00, 2.207E+03
 3.341E+00, 1.862E-15, 1.000E+00, 2.229E+03
 3.360E+00, 1.875E-15, 1.000E+00, 2.249E+03
 3.380E+00, 1.776E-15, 1.000E+00, 2.268E+03
 3.401E+00, 1.825E-15, 1.000E+00, 2.289E+03
 3.420E+00, 2.451E-15, 1.000E+00, 2.311E+03
 3.440E+00, 2.342E-15, 1.000E+00, 2.333E+03
 3.461E+00, 2.269E-15, 1.000E+00, 2.356E+03
 3.480E+00, 1.736E-15, 1.000E+00, 2.380E+03
