s,Pa,m/s,,s,,,
Time,"pres","error","iter","cpu","scarc-iter","scarc-res","scarc-rate"
 1.9022591E-001, 5.5827383E-002, 8.7248073E-006, 5.0000000E+000, 2.1652754E+002, 4.3000000E+001, 5.2134162E-009, 5.8348998E-001
 1.9169826E-001, 5.5795904E-002, 7.9017447E-006, 5.0000000E+000, 2.1885641E+002, 4.3000000E+001, 7.9808593E-009, 5.9060819E-001
 1.9317062E-001, 5.5764210E-002, 9.9651562E-006, 4.0000000E+000, 2.2110197E+002, 4.3000000E+001, 8.9696881E-009, 5.8820719E-001
 1.9464297E-001, 5.5732301E-002, 9.0166638E-006, 5.0000000E+000, 2.2366604E+002, 4.2000000E+001, 5.3442924E-009, 5.7595862E-001
 1.9611532E-001, 5.5700179E-002, 8.1203328E-006, 5.0000000E+000, 2.2634564E+002, 4.3000000E+001, 7.4685659E-009, 5.8933822E-001
 1.9758768E-001, 5.5667842E-002, 8.0210590E-006, 5.0000000E+000, 2.2911296E+002, 4.2000000E+001, 9.4210792E-009, 5.8534793E-001
 1.9906003E-001, 5.5635293E-002, 8.1660596E-006, 5.0000000E+000, 2.3191377E+002, 4.3000000E+001, 4.8814651E-009, 5.8345777E-001
 2.0053238E-001, 5.5602531E-002, 8.2719152E-006, 5.0000000E+000, 2.3471513E+002, 4.3000000E+001, 7.5770970E-009, 5.8928513E-001
 2.0200474E-001, 5.5569558E-002, 8.3296158E-006, 5.0000000E+000, 2.3725015E+002, 4.3000000E+001, 7.5815534E-009, 5.8920100E-001
 2.0347709E-001, 5.5536373E-002, 8.3784419E-006, 5.0000000E+000, 2.4003152E+002, 4.3000000E+001, 8.3622283E-009, 5.9046745E-001
 2.0494945E-001, 5.5502977E-002, 8.4316085E-006, 5.0000000E+000, 2.4219010E+002, 4.3000000E+001, 5.6220832E-009, 5.8495717E-001
 2.0642180E-001, 5.5469370E-002, 8.4869556E-006, 5.0000000E+000, 2.4477951E+002, 4.3000000E+001, 5.9571831E-009, 5.8565878E-001
 2.0789415E-001, 5.5435554E-002, 8.5416724E-006, 5.0000000E+000, 2.4742863E+002, 4.3000000E+001, 4.5488724E-009, 5.8191220E-001
 2.0936651E-001, 5.5401529E-002, 8.5951906E-006, 5.0000000E+000, 2.5025161E+002, 4.3000000E+001, 7.7894905E-009, 5.8915392E-001
 2.1069117E-001, 5.5377538E-002, 9.1214153E-006, 4.0000000E+000, 2.5285725E+002, 4.3000000E+001, 8.7922135E-009, 5.8788070E-001
 2.1201583E-001, 5.5346617E-002, 8.1162809E-006, 5.0000000E+000, 2.5531990E+002, 4.3000000E+001, 8.1209788E-009, 5.8913632E-001
 2.1334049E-001, 5.5315528E-002, 9.1732450E-006, 4.0000000E+000, 2.5752612E+002, 4.3000000E+001, 8.4840360E-009, 5.8733409E-001
 2.1466514E-001, 5.5284271E-002, 9.7528205E-006, 4.0000000E+000, 2.5967706E+002, 4.3000000E+001, 9.4712490E-009, 5.8804780E-001
 2.1598980E-001, 5.5252847E-002, 8.2554928E-006, 5.0000000E+000, 2.6260296E+002, 4.3000000E+001, 6.7779112E-009, 5.8644068E-001
 2.1731446E-001, 5.5221256E-002, 9.1925035E-006, 4.0000000E+000, 2.6512799E+002, 4.3000000E+001, 8.5845573E-009, 5.8746171E-001
 2.1863912E-001, 5.5189498E-002, 9.8392233E-006, 4.0000000E+000, 2.6744430E+002, 4.3000000E+001, 6.3255393E-009, 5.8243883E-001
 2.1996378E-001, 5.5157574E-002, 8.3748463E-006, 5.0000000E+000, 2.7003631E+002, 4.3000000E+001, 8.9195099E-009, 5.9000335E-001
 2.2128844E-001, 5.5125485E-002, 9.3357112E-006, 4.0000000E+000, 2.7248889E+002, 4.4000000E+001, 2.9502669E-009, 5.8015827E-001
 2.2261310E-001, 5.5093230E-002, 9.9834456E-006, 4.0000000E+000, 2.7481179E+002, 4.4000000E+001, 1.9804051E-009, 5.7410194E-001
 2.2393776E-001, 5.5060810E-002, 8.1783529E-006, 5.0000000E+000, 2.7742684E+002, 4.3000000E+001, 7.2406290E-009, 5.8745675E-001
 2.2526242E-001, 5.5028226E-002, 9.6068236E-006, 4.0000000E+000, 2.7973580E+002, 4.3000000E+001, 6.4872254E-009, 5.8309581E-001
 2.2658708E-001, 5.4995478E-002, 8.1301510E-006, 5.0000000E+000, 2.8246316E+002, 4.3000000E+001, 6.1815249E-009, 5.8537179E-001
 2.2791174E-001, 5.4962566E-002, 9.6719124E-006, 4.0000000E+000, 2.8478039E+002, 4.3000000E+001, 8.1461996E-009, 5.8610299E-001
 2.2923640E-001, 5.4929491E-002, 8.1941419E-006, 5.0000000E+000, 2.8716287E+002, 4.3000000E+001, 5.7876769E-009, 5.8437071E-001
 2.3056105E-001, 5.4896253E-002, 9.7479904E-006, 4.0000000E+000, 2.8948071E+002, 4.3000000E+001, 9.3205471E-009, 5.8783957E-001
 2.3188571E-001, 5.4862853E-002, 8.2598160E-006, 5.0000000E+000, 2.9210122E+002, 4.3000000E+001, 9.7403319E-009, 5.9137914E-001
 2.3321037E-001, 5.4829291E-002, 9.8264143E-006, 4.0000000E+000, 2.9429376E+002, 4.3000000E+001, 7.4480682E-009, 5.8467792E-001
 2.3453503E-001, 5.4795567E-002, 8.3262795E-006, 5.0000000E+000, 2.9702529E+002, 4.3000000E+001, 9.1908142E-009, 5.9047198E-001
 2.3585969E-001, 5.4761683E-002, 9.5006894E-006, 4.0000000E+000, 2.9945135E+002, 4.3000000E+001, 6.7685857E-009, 5.8378087E-001
 2.3718435E-001, 5.4727638E-002, 8.4789089E-006, 5.0000000E+000, 3.0178503E+002, 4.3000000E+001, 6.5474005E-009, 5.8559115E-001
 2.3850901E-001, 5.4693433E-002, 9.7676436E-006, 4.0000000E+000, 3.0398538E+002, 4.2000000E+001, 9.5030640E-009, 5.8067541E-001
 2.3983367E-001, 5.4659068E-002, 8.6116270E-006, 5.0000000E+000, 3.0674456E+002, 4.3000000E+001, 9.1005937E-009, 5.8988442E-001
 2.4102391E-001, 5.4635019E-002, 8.1848226E-006, 4.0000000E+000, 3.0924810E+002, 4.3000000E+001, 8.7752041E-009, 5.8797399E-001
 2.4221414E-001, 5.4603906E-002, 9.0501235E-006, 4.0000000E+000, 3.1144995E+002, 4.2000000E+001, 8.0093237E-009, 5.7803265E-001
 2.4340438E-001, 5.4572666E-002, 9.3196214E-006, 4.0000000E+000, 3.1349032E+002, 4.2000000E+001, 8.2008017E-009, 5.7799882E-001
 2.4459462E-001, 5.4541298E-002, 9.2078055E-006, 4.0000000E+000, 3.1591610E+002, 4.3000000E+001, 6.7574950E-009, 5.8293147E-001
 2.4578485E-001, 5.4509802E-002, 9.1036312E-006, 4.0000000E+000, 3.1803991E+002, 4.3000000E+001, 8.2125347E-009, 5.8571854E-001
 2.4697509E-001, 5.4478179E-002, 9.0965429E-006, 4.0000000E+000, 3.2061965E+002, 4.3000000E+001, 7.2659262E-009, 5.8405943E-001
 2.4816533E-001, 5.4446430E-002, 9.1340787E-006, 4.0000000E+000, 3.2278579E+002, 4.2000000E+001, 9.9357130E-009, 5.8088695E-001
 2.4935556E-001, 5.4414555E-002, 9.1718053E-006, 4.0000000E+000, 3.2530218E+002, 4.3000000E+001, 6.5493381E-009, 5.8254385E-001
 2.5054580E-001, 5.4382553E-002, 9.2005896E-006, 4.0000000E+000, 3.2747338E+002, 4.3000000E+001, 4.2961079E-009, 5.7681838E-001
 2.5173604E-001, 5.4350425E-002, 9.2254682E-006, 4.0000000E+000, 3.2972378E+002, 4.3000000E+001, 6.8399528E-009, 5.8305475E-001
 2.5292627E-001, 5.4318173E-002, 9.2503863E-006, 4.0000000E+000, 3.3216912E+002, 4.2000000E+001, 9.7939167E-009, 5.8051766E-001
 2.5411651E-001, 5.4285795E-002, 9.2759314E-006, 4.0000000E+000, 3.3483996E+002, 4.3000000E+001, 5.9975800E-009, 5.8120268E-001
 2.5530675E-001, 5.4253292E-002, 9.3015121E-006, 4.0000000E+000, 3.3695614E+002, 4.3000000E+001, 6.4833506E-009, 5.8221953E-001
 2.5649699E-001, 5.4220665E-002, 9.3267473E-006, 4.0000000E+000, 3.3923889E+002, 4.3000000E+001, 6.0038499E-009, 5.8114393E-001
 2.5768722E-001, 5.4187914E-002, 9.3515974E-006, 4.0000000E+000, 3.4180755E+002, 4.3000000E+001, 7.0835106E-009, 5.8334747E-001
 2.5887746E-001, 5.4155039E-002, 9.3761256E-006, 4.0000000E+000, 3.4390155E+002, 4.3000000E+001, 4.8169744E-009, 5.7810451E-001
 2.6006770E-001, 5.4122041E-002, 9.4003684E-006, 4.0000000E+000, 3.4637597E+002, 4.2000000E+001, 9.8517935E-009, 5.8037934E-001
 2.6125793E-001, 5.4088920E-002, 9.4243292E-006, 4.0000000E+000, 3.4865829E+002, 4.2000000E+001, 9.9928874E-009, 5.8054092E-001
 2.6244817E-001, 5.4055676E-002, 9.4480031E-006, 4.0000000E+000, 3.5074768E+002, 4.3000000E+001, 9.3905126E-009, 5.8704575E-001
 2.6363841E-001, 5.4022309E-002, 9.4713890E-006, 4.0000000E+000, 3.5296194E+002, 4.3000000E+001, 8.5694548E-009, 5.8576442E-001
 2.6482864E-001, 5.3988821E-002, 9.4944895E-006, 4.0000000E+000, 3.5500723E+002, 4.3000000E+001, 9.4072430E-009, 5.8700329E-001
 2.6601888E-001, 5.3955211E-002, 9.5173085E-006, 4.0000000E+000, 3.5719976E+002, 4.4000000E+001, 2.7351706E-009, 5.7767340E-001
 2.6720912E-001, 5.3921479E-002, 9.5398499E-006, 4.0000000E+000, 3.5942163E+002, 4.4000000E+001, 2.8990367E-009, 5.7840673E-001
 2.6839935E-001, 5.3887627E-002, 9.5621182E-006, 4.0000000E+000, 3.6166845E+002, 4.3000000E+001, 5.6130696E-009, 5.7990051E-001
 2.6958959E-001, 5.3853654E-002, 9.5841182E-006, 4.0000000E+000, 3.6386965E+002, 4.3000000E+001, 5.6413546E-009, 5.7993725E-001
 2.7077983E-001, 5.3819560E-002, 9.6058554E-006, 4.0000000E+000, 3.6600534E+002, 4.3000000E+001, 6.1293053E-009, 5.8102646E-001
 2.7316030E-001, 5.3768180E-002, 9.6379500E-006, 4.0000000E+000, 3.6969654E+002, 4.3000000E+001, 5.8185472E-009, 5.8027859E-001
 2.7435054E-001, 5.3716561E-002, 9.6695485E-006, 4.0000000E+000, 3.7312658E+002, 4.3000000E+001, 6.0076991E-009, 5.8066600E-001
 2.7673101E-001, 5.3664645E-002, 9.7005485E-006, 4.0000000E+000, 3.7685795E+002, 4.2500000E+001, 6.9993189E-009, 5.7876303E-001
 2.7886691E-001, 5.3607557E-002, 8.0812563E-006, 4.0000000E+000, 3.8206044E+002, 4.3000000E+001, 5.1465096E-009, 5.7953203E-001
 2.8100281E-001, 5.3544769E-002, 9.2750327E-006, 3.5000000E+000, 3.8643153E+002, 4.3000000E+001, 6.3017981E-009, 5.7970952E-001
 2.8207076E-001, 5.3497442E-002, 8.4165848E-006, 4.0000000E+000, 3.8965310E+002, 4.2000000E+001, 9.7683842E-009, 5.8038141E-001
 2.8420665E-001, 5.3449880E-002, 9.2515326E-006, 3.5000000E+000, 3.9307287E+002, 4.3000000E+001, 7.4283064E-009, 5.8186129E-001
