s,Pa,m/s,,s
Time,"pres","error","iter","cpu"
 2.0494536E-001, 5.5503071E-002, 0.0000000E+000, 1.0000000E+000, 1.4736019E+002
 2.0641769E-001, 5.5469466E-002, 0.0000000E+000, 1.0000000E+000, 1.4987539E+002
 2.0789001E-001, 5.5435651E-002, 0.0000000E+000, 1.0000000E+000, 1.5190983E+002
 2.0936234E-001, 5.5401627E-002, 0.0000000E+000, 1.0000000E+000, 1.5389515E+002
 2.1068699E-001, 5.5377636E-002, 0.0000000E+000, 1.0000000E+000, 1.5636170E+002
 2.1201164E-001, 5.5346716E-002, 0.0000000E+000, 1.0000000E+000, 1.5787899E+002
 2.1333628E-001, 5.5315628E-002, 0.0000000E+000, 1.0000000E+000, 1.5952730E+002
 2.1466093E-001, 5.5284372E-002, 0.0000000E+000, 1.0000000E+000, 1.6193372E+002
 2.1598558E-001, 5.5252948E-002, 0.0000000E+000, 1.0000000E+000, 1.6403905E+002
 2.1731023E-001, 5.5221358E-002, 0.0000000E+000, 1.0000000E+000, 1.6570434E+002
 2.1863487E-001, 5.5189601E-002, 0.0000000E+000, 1.0000000E+000, 1.6785607E+002
 2.1995952E-001, 5.5157678E-002, 0.0000000E+000, 1.0000000E+000, 1.6920949E+002
 2.2128417E-001, 5.5125589E-002, 0.0000000E+000, 1.0000000E+000, 1.7031081E+002
 2.2260882E-001, 5.5093335E-002, 0.0000000E+000, 1.0000000E+000, 1.7193665E+002
 2.2393346E-001, 5.5060916E-002, 0.0000000E+000, 1.0000000E+000, 1.7392603E+002
 2.2525811E-001, 5.5028333E-002, 0.0000000E+000, 1.0000000E+000, 1.7554815E+002
 2.2658276E-001, 5.4995585E-002, 0.0000000E+000, 1.0000000E+000, 1.7711490E+002
 2.2790741E-001, 5.4962674E-002, 0.0000000E+000, 1.0000000E+000, 1.7893424E+002
 2.2923205E-001, 5.4929600E-002, 0.0000000E+000, 1.0000000E+000, 1.8017338E+002
 2.3055670E-001, 5.4896363E-002, 0.0000000E+000, 1.0000000E+000, 1.8173053E+002
 2.3188135E-001, 5.4862964E-002, 0.0000000E+000, 1.0000000E+000, 1.8361095E+002
 2.3320600E-001, 5.4829403E-002, 0.0000000E+000, 1.0000000E+000, 1.8538765E+002
 2.3453064E-001, 5.4795680E-002, 0.0000000E+000, 1.0000000E+000, 1.8698452E+002
 2.3585529E-001, 5.4761796E-002, 0.0000000E+000, 1.0000000E+000, 1.8914531E+002
 2.3717994E-001, 5.4727752E-002, 0.0000000E+000, 1.0000000E+000, 1.9160100E+002
 2.3850459E-001, 5.4693548E-002, 0.0000000E+000, 1.0000000E+000, 1.9322684E+002
 2.3982923E-001, 5.4659184E-002, 0.0000000E+000, 1.0000000E+000, 1.9494257E+002
 2.4101947E-001, 5.4635134E-002, 1.3877788E-017, 1.0000000E+000, 1.9680251E+002
 2.4220970E-001, 5.4604023E-002, 1.3877788E-017, 1.0000000E+000, 1.9822875E+002
 2.4339994E-001, 5.4572783E-002, 1.3877788E-017, 1.0000000E+000, 2.0009524E+002
 2.4459017E-001, 5.4541415E-002, 1.3877788E-017, 1.0000000E+000, 2.0151610E+002
 2.4578041E-001, 5.4509920E-002, 1.3877788E-017, 1.0000000E+000, 2.0426986E+002
 2.4697064E-001, 5.4478298E-002, 1.3877788E-017, 1.0000000E+000, 2.0603414E+002
 2.4816088E-001, 5.4446549E-002, 1.3877788E-017, 1.0000000E+000, 2.0792324E+002
 2.4935111E-001, 5.4414674E-002, 1.3877788E-017, 1.0000000E+000, 2.0910650E+002
 2.5054135E-001, 5.4382673E-002, 1.3877788E-017, 1.0000000E+000, 2.1067888E+002
 2.5173158E-001, 5.4350546E-002, 1.3877788E-017, 1.0000000E+000, 2.1313585E+002
 2.5292182E-001, 5.4318294E-002, 1.3877788E-017, 1.0000000E+000, 2.1442510E+002
 2.5411205E-001, 5.4285916E-002, 1.3877788E-017, 1.0000000E+000, 2.1628426E+002
 2.5530229E-001, 5.4253414E-002, 1.3877788E-017, 1.0000000E+000, 2.1833536E+002
 2.5649252E-001, 5.4220788E-002, 2.7755576E-017, 1.0000000E+000, 2.1985219E+002
 2.5768276E-001, 5.4188037E-002, 1.3877788E-017, 1.0000000E+000, 2.2155544E+002
 2.5887299E-001, 5.4155163E-002, 2.7755576E-017, 1.0000000E+000, 2.2359420E+002
 2.6006322E-001, 5.4122165E-002, 0.0000000E+000, 1.0000000E+000, 2.2500998E+002
 2.6125346E-001, 5.4089044E-002, 0.0000000E+000, 1.0000000E+000, 2.2603440E+002
 2.6244369E-001, 5.4055801E-002, 0.0000000E+000, 1.0000000E+000, 2.2749885E+002
 2.6363393E-001, 5.4022435E-002, 0.0000000E+000, 1.0000000E+000, 2.2879081E+002
 2.6482416E-001, 5.3988947E-002, 0.0000000E+000, 1.0000000E+000, 2.3023392E+002
 2.6601440E-001, 5.3955338E-002, 0.0000000E+000, 1.0000000E+000, 2.3155214E+002
 2.6720463E-001, 5.3921607E-002, 0.0000000E+000, 1.0000000E+000, 2.3305069E+002
 2.6839487E-001, 5.3887755E-002, 0.0000000E+000, 1.0000000E+000, 2.3471380E+002
 2.6958510E-001, 5.3853782E-002, 0.0000000E+000, 1.0000000E+000, 2.3593400E+002
 2.7077534E-001, 5.3819689E-002, 0.0000000E+000, 1.0000000E+000, 2.3686171E+002
 2.7315581E-001, 5.3768310E-002, 0.0000000E+000, 1.0000000E+000, 2.4005586E+002
 2.7434604E-001, 5.3716692E-002, 0.0000000E+000, 1.0000000E+000, 2.4272426E+002
 2.7672651E-001, 5.3664776E-002, 0.0000000E+000, 1.0000000E+000, 2.4580063E+002
 2.7886239E-001, 5.3607689E-002, 0.0000000E+000, 1.0000000E+000, 2.5044909E+002
 2.8099828E-001, 5.3544903E-002, 0.0000000E+000, 1.0000000E+000, 2.5343020E+002
 2.8206622E-001, 5.3497577E-002, 0.0000000E+000, 1.0000000E+000, 2.5475446E+002
 2.8420210E-001, 5.3450016E-002, 0.0000000E+000, 1.0000000E+000, 2.5541768E+002
 2.8633798E-001, 5.3386289E-002, 0.0000000E+000, 1.0000000E+000, 2.5606022E+002
 2.8847387E-001, 5.3322190E-002, 0.0000000E+000, 1.0000000E+000, 2.5779801E+002
 2.9060975E-001, 5.3257721E-002, 0.0000000E+000, 1.0000000E+000, 2.6156264E+002
 2.9274563E-001, 5.3192884E-002, 0.0000000E+000, 1.0000000E+000, 2.6556020E+002
 2.9488152E-001, 5.3127681E-002, 0.0000000E+000, 1.0000000E+000, 2.6860190E+002
 2.9701740E-001, 5.3062113E-002, 0.0000000E+000, 1.0000000E+000, 2.7215433E+002
 2.9808534E-001, 5.3012711E-002, 0.0000000E+000, 1.0000000E+000, 2.7462095E+002
 3.0022122E-001, 5.2963084E-002, 0.0000000E+000, 1.0000000E+000, 2.7705918E+002
 3.0235711E-001, 5.2896616E-002, 0.0000000E+000, 1.0000000E+000, 2.8075606E+002
 3.0449299E-001, 5.2829791E-002, 0.0000000E+000, 1.0000000E+000, 2.8430945E+002
 3.0662887E-001, 5.2762612E-002, 0.0000000E+000, 1.0000000E+000, 2.8662920E+002
 3.0876476E-001, 5.2695080E-002, 0.0000000E+000, 1.0000000E+000, 2.8998919E+002
 3.1090064E-001, 5.2627198E-002, 0.0000000E+000, 1.0000000E+000, 2.9340047E+002
 3.1303652E-001, 5.2558967E-002, 0.0000000E+000, 1.0000000E+000, 2.9646831E+002
 3.1410446E-001, 5.2507578E-002, 0.0000000E+000, 1.0000000E+000, 2.9882755E+002
 3.1624035E-001, 5.2455974E-002, 0.0000000E+000, 1.0000000E+000, 3.0106936E+002
 3.1837623E-001, 5.2386883E-002, 0.0000000E+000, 1.0000000E+000, 3.0425197E+002
 3.2040384E-001, 5.2323391E-002, 0.0000000E+000, 1.0000000E+000, 3.0797826E+002
 3.2232318E-001, 5.2263621E-002, 0.0000000E+000, 1.0000000E+000, 3.1176734E+002
 3.2424252E-001, 5.2200707E-002, 0.0000000E+000, 1.0000000E+000, 3.1499837E+002
 3.2616185E-001, 5.2137522E-002, 0.0000000E+000, 1.0000000E+000, 3.1870626E+002
 3.2808119E-001, 5.2074069E-002, 0.0000000E+000, 1.0000000E+000, 3.2146760E+002
 3.3000053E-001, 5.2010348E-002, 0.0000000E+000, 1.0000000E+000, 3.2447196E+002
 3.3287954E-001, 5.1930310E-002, 0.0000000E+000, 1.0000000E+000, 3.2920576E+002
 3.3479888E-001, 5.1849888E-002, 0.0000000E+000, 1.0000000E+000, 3.3443076E+002
 3.3671821E-001, 5.1785245E-002, 0.0000000E+000, 1.0000000E+000, 3.3807578E+002
 3.3863755E-001, 5.1720341E-002, 0.0000000E+000, 1.0000000E+000, 3.4166370E+002
 3.4055689E-001, 5.1655180E-002, 0.0000000E+000, 1.0000000E+000, 3.4508130E+002
 3.4247623E-001, 5.1589761E-002, 0.0000000E+000, 1.0000000E+000, 3.4845635E+002
 3.4439556E-001, 5.1524088E-002, 0.0000000E+000, 1.0000000E+000, 3.5156209E+002
 3.4631490E-001, 5.1458161E-002, 0.0000000E+000, 1.0000000E+000, 3.5543920E+002
 3.4823424E-001, 5.1391982E-002, 0.0000000E+000, 1.0000000E+000, 3.5967966E+002
 3.5015358E-001, 5.1325552E-002, 0.0000000E+000, 1.0000000E+000, 3.6338782E+002
 3.5207292E-001, 5.1258874E-002, 0.0000000E+000, 1.0000000E+000, 3.6649170E+002
 3.5495192E-001, 5.1175167E-002, 0.0000000E+000, 1.0000000E+000, 3.7055253E+002
 3.5687126E-001, 5.1091102E-002, 0.0000000E+000, 1.0000000E+000, 3.7544526E+002
 3.5879060E-001, 5.1023566E-002, 0.0000000E+000, 1.0000000E+000, 3.7805800E+002
 3.6070994E-001, 5.0955789E-002, 0.0000000E+000, 1.0000000E+000, 3.8112314E+002
 3.6262928E-001, 5.0887773E-002, 0.0000000E+000, 1.0000000E+000, 3.8392586E+002
 3.6454861E-001, 5.0819518E-002, 0.0000000E+000, 1.0000000E+000, 3.8685157E+002
 3.6646795E-001, 5.0751027E-002, 0.0000000E+000, 1.0000000E+000, 3.8998606E+002
 3.6829130E-001, 5.0688107E-002, 0.0000000E+000, 1.0000000E+000, 3.9398584E+002
 3.7001865E-001, 5.0628893E-002, 0.0000000E+000, 1.0000000E+000, 3.9698839E+002
 3.7260967E-001, 5.0551089E-002, 0.0000000E+000, 1.0000000E+000, 4.0105664E+002
 3.7433702E-001, 5.0473013E-002, 0.0000000E+000, 1.0000000E+000, 4.0542904E+002
 3.7606437E-001, 5.0410337E-002, 0.0000000E+000, 1.0000000E+000, 4.0859270E+002
 3.7865539E-001, 5.0331725E-002, 0.0000000E+000, 1.0000000E+000, 4.1223430E+002
 3.8038274E-001, 5.0252847E-002, 0.0000000E+000, 1.0000000E+000, 4.1712568E+002
 3.8211009E-001, 5.0189533E-002, 0.0000000E+000, 1.0000000E+000, 4.2042972E+002
 3.8470112E-001, 5.0110130E-002, 0.0000000E+000, 1.0000000E+000, 4.2464098E+002
 3.8642847E-001, 5.0030468E-002, 0.0000000E+000, 1.0000000E+000, 4.2798940E+002
 3.8815581E-001, 4.9966532E-002, 0.0000000E+000, 1.0000000E+000, 4.3089007E+002
 3.9074684E-001, 4.9886358E-002, 0.0000000E+000, 1.0000000E+000, 4.3461764E+002
 3.9247419E-001, 4.9805930E-002, 0.0000000E+000, 1.0000000E+000, 4.3842974E+002
 3.9420154E-001, 4.9741387E-002, 0.0000000E+000, 1.0000000E+000, 4.4200054E+002
 3.9679256E-001, 4.9660459E-002, 0.0000000E+000, 1.0000000E+000, 4.4650753E+002
 3.9851991E-001, 4.9579284E-002, 0.0000000E+000, 1.0000000E+000, 4.5124714E+002
 4.0024726E-001, 4.9514149E-002, 0.0000000E+000, 1.0000000E+000, 4.5483104E+002
 4.0283829E-001, 4.9432486E-002, 0.0000000E+000, 1.0000000E+000, 4.6032765E+002
 4.0456564E-001, 4.9350583E-002, 0.0000000E+000, 1.0000000E+000, 4.6424531E+002
 4.0629298E-001, 4.9284870E-002, 0.0000000E+000, 1.0000000E+000, 4.6727544E+002
 4.0802033E-001, 4.9218994E-002, 0.0000000E+000, 1.0000000E+000, 4.7150103E+002
 4.1061136E-001, 4.9136415E-002, 0.0000000E+000, 1.0000000E+000, 4.7729244E+002
 4.1233871E-001, 4.9053603E-002, 0.0000000E+000, 1.0000000E+000, 4.8067325E+002
 4.1406606E-001, 4.8987168E-002, 0.0000000E+000, 1.0000000E+000, 4.8444498E+002
 4.1665708E-001, 4.8903897E-002, 0.0000000E+000, 1.0000000E+000, 4.8883437E+002
 4.1838443E-001, 4.8820400E-002, 0.0000000E+000, 1.0000000E+000, 4.9273574E+002
 4.2011178E-001, 4.8753422E-002, 0.0000000E+000, 1.0000000E+000, 4.9625367E+002
 4.2261545E-001, 4.8673824E-002, 0.0000000E+000, 1.0000000E+000, 5.0040522E+002
 4.2416809E-001, 4.8600676E-002, 0.0000000E+000, 1.0000000E+000, 5.0502805E+002
 4.2649705E-001, 4.8524850E-002, 0.0000000E+000, 1.0000000E+000, 5.0921067E+002
 4.2804969E-001, 4.8448849E-002, 0.0000000E+000, 1.0000000E+000, 5.1330225E+002
 4.3037865E-001, 4.8372650E-002, 0.0000000E+000, 1.0000000E+000, 5.1756406E+002
 4.3270761E-001, 4.8280976E-002, 0.0000000E+000, 1.0000000E+000, 5.2305246E+002
 4.3426025E-001, 4.8204387E-002, 0.0000000E+000, 1.0000000E+000, 5.2613068E+002
 4.3658921E-001, 4.8127606E-002, 0.0000000E+000, 1.0000000E+000, 5.3056642E+002
 4.3814186E-001, 4.8050658E-002, 0.0000000E+000, 1.0000000E+000, 5.3462436E+002
 4.4047082E-001, 4.7973522E-002, 0.0000000E+000, 1.0000000E+000, 5.3836981E+002
 4.4202346E-001, 4.7896223E-002, 0.0000000E+000, 1.0000000E+000, 5.4228617E+002
 4.4435242E-001, 4.7818739E-002, 0.0000000E+000, 1.0000000E+000, 5.4672749E+002
 4.4668138E-001, 4.7725540E-002, 0.0000000E+000, 1.0000000E+000, 5.5178597E+002
 4.4823402E-001, 4.7647692E-002, 0.0000000E+000, 1.0000000E+000, 5.5617011E+002
 4.5056298E-001, 4.7569666E-002, 0.0000000E+000, 1.0000000E+000, 5.6017578E+002
 4.5211562E-001, 4.7491486E-002, 0.0000000E+000, 1.0000000E+000, 5.6451798E+002
 4.5444458E-001, 4.7413130E-002, 0.0000000E+000, 1.0000000E+000, 5.6911952E+002
 4.5677354E-001, 4.7318895E-002, 0.0000000E+000, 1.0000000E+000, 5.7417561E+002
 4.5832618E-001, 4.7240195E-002, 0.0000000E+000, 1.0000000E+000, 5.7860386E+002
 4.6065514E-001, 4.7161326E-002, 0.0000000E+000, 1.0000000E+000, 5.8267244E+002
 4.6220778E-001, 4.7082310E-002, 0.0000000E+000, 1.0000000E+000, 5.8667634E+002
 4.6453674E-001, 4.7003128E-002, 0.0000000E+000, 1.0000000E+000, 5.9121803E+002
 4.6608938E-001, 4.6923804E-002, 0.0000000E+000, 1.0000000E+000, 5.9602317E+002
 4.6841834E-001, 4.6844317E-002, 0.0000000E+000, 1.0000000E+000, 6.0009366E+002
 4.7074731E-001, 4.6748742E-002, 0.0000000E+000, 1.0000000E+000, 6.0530452E+002
 4.7229995E-001, 4.6668937E-002, 0.0000000E+000, 1.0000000E+000, 6.0980332E+002
 4.7462891E-001, 4.6588977E-002, 0.0000000E+000, 1.0000000E+000, 6.1435644E+002
 4.7618155E-001, 4.6508882E-002, 0.0000000E+000, 1.0000000E+000, 6.1896238E+002
 4.7851051E-001, 4.6428634E-002, 0.0000000E+000, 1.0000000E+000, 6.2356850E+002
