s,Pa,m/s,,s,,,
Time,"pres","error","iter","cpu","scarc-iter","scarc-res","scarc-rate"
 2.0361382E-001, 5.5533263E-002, 1.0652125E-004, 1.0000000E+000, 8.3949530E+001, 4.3000000E+001, 9.7847123E-009, 5.4618576E-001
 2.0508655E-001, 5.5499839E-002, 1.0695532E-004, 1.0000000E+000, 8.4819121E+001, 4.4000000E+001, 7.7764914E-009, 5.5080640E-001
 2.0655928E-001, 5.5466205E-002, 1.0771664E-004, 1.0000000E+000, 8.5824927E+001, 4.4000000E+001, 5.6176261E-009, 5.4668846E-001
 2.0803201E-001, 5.5432360E-002, 1.0852352E-004, 1.0000000E+000, 8.6761481E+001, 4.4000000E+001, 3.9734580E-009, 5.4233782E-001
 2.0950474E-001, 5.5398307E-002, 1.0917253E-004, 1.0000000E+000, 8.7785063E+001, 4.3000000E+001, 8.1405382E-009, 5.4360121E-001
 2.1082958E-001, 5.5374307E-002, 7.9887698E-005, 1.0000000E+000, 8.9025763E+001, 4.4000000E+001, 5.1166223E-009, 5.4655546E-001
 2.1215442E-001, 5.5343364E-002, 8.1468926E-005, 1.0000000E+000, 9.0061080E+001, 4.4000000E+001, 4.0689564E-009, 5.4386217E-001
 2.1347926E-001, 5.5312253E-002, 8.5889892E-005, 1.0000000E+000, 9.0777663E+001, 4.4000000E+001, 3.9793035E-009, 5.4344789E-001
 2.1480411E-001, 5.5280974E-002, 8.7806627E-005, 1.0000000E+000, 9.1803122E+001, 4.4000000E+001, 4.7937841E-009, 5.4568445E-001
 2.1612895E-001, 5.5249528E-002, 8.8910393E-005, 1.0000000E+000, 9.2628691E+001, 4.4000000E+001, 5.9652808E-009, 5.4836691E-001
 2.1745379E-001, 5.5217915E-002, 9.0479413E-005, 1.0000000E+000, 9.3609412E+001, 4.4000000E+001, 4.3042195E-009, 5.4425209E-001
 2.1877863E-001, 5.5186135E-002, 9.2125920E-005, 1.0000000E+000, 9.4355017E+001, 4.3000000E+001, 9.4816654E-009, 5.4646491E-001
 2.2010347E-001, 5.5154190E-002, 9.2953325E-005, 1.0000000E+000, 9.5345580E+001, 4.4000000E+001, 8.8307515E-009, 5.5304555E-001
 2.2142831E-001, 5.5122078E-002, 9.2609451E-005, 1.0000000E+000, 9.6172965E+001, 4.4000000E+001, 6.7265071E-009, 5.4957686E-001
 2.2275315E-001, 5.5089801E-002, 9.1447024E-005, 1.0000000E+000, 9.7105490E+001, 4.4000000E+001, 5.5681710E-009, 5.4718331E-001
 2.2407799E-001, 5.5057360E-002, 9.0123920E-005, 1.0000000E+000, 9.8086112E+001, 4.4000000E+001, 4.4926200E-009, 5.4449052E-001
 2.2540283E-001, 5.5024754E-002, 8.9180272E-005, 1.0000000E+000, 9.9052313E+001, 4.4000000E+001, 4.8150298E-009, 5.4531556E-001
 2.2672767E-001, 5.4991984E-002, 8.8848238E-005, 1.0000000E+000, 9.9846068E+001, 4.4000000E+001, 6.8509899E-009, 5.4966130E-001
 2.2805251E-001, 5.4959050E-002, 8.9075215E-005, 1.0000000E+000, 1.0071975E+002, 4.4000000E+001, 5.8126144E-009, 5.4755975E-001
 2.2937735E-001, 5.4925953E-002, 8.9645120E-005, 1.0000000E+000, 1.0170998E+002, 4.4000000E+001, 4.0177358E-009, 5.4292366E-001
 2.3070219E-001, 5.4892693E-002, 9.0305856E-005, 1.0000000E+000, 1.0257195E+002, 4.4000000E+001, 5.0359732E-009, 5.4565426E-001
 2.3202703E-001, 5.4859271E-002, 9.0859846E-005, 1.0000000E+000, 1.0335033E+002, 4.4000000E+001, 5.1588103E-009, 5.4588894E-001
 2.3335187E-001, 5.4825687E-002, 9.1206858E-005, 1.0000000E+000, 1.0422665E+002, 4.4000000E+001, 6.7013496E-009, 5.4908189E-001
 2.3467671E-001, 5.4791942E-002, 9.1344082E-005, 1.0000000E+000, 1.0493893E+002, 4.4000000E+001, 5.6868339E-009, 5.4697845E-001
 2.3600155E-001, 5.4758035E-002, 9.1336743E-005, 1.0000000E+000, 1.0600088E+002, 4.4000000E+001, 4.9286290E-009, 5.4514684E-001
 2.3732639E-001, 5.4723968E-002, 9.1276453E-005, 1.0000000E+000, 1.0695816E+002, 4.4000000E+001, 3.0003235E-009, 5.3897843E-001
 2.3865123E-001, 5.4689741E-002, 9.1243684E-005, 1.0000000E+000, 1.0779004E+002, 4.4000000E+001, 4.9788650E-009, 5.4516458E-001
 2.3997607E-001, 5.4655355E-002, 9.1285055E-005, 1.0000000E+000, 1.0869375E+002, 4.4000000E+001, 5.3688010E-009, 5.4604488E-001
 2.4116633E-001, 5.4631301E-002, 6.6661504E-005, 1.0000000E+000, 1.1017665E+002, 4.4000000E+001, 8.4597325E-009, 5.5290950E-001
 2.4235659E-001, 5.4600173E-002, 6.7438144E-005, 1.0000000E+000, 1.1093902E+002, 4.5000000E+001, 2.1472528E-009, 5.4356968E-001
 2.4354685E-001, 5.4568917E-002, 7.1052664E-005, 1.0000000E+000, 1.1182213E+002, 4.4000000E+001, 8.0778251E-009, 5.5236175E-001
 2.4473711E-001, 5.4537533E-002, 7.2950421E-005, 1.0000000E+000, 1.1274006E+002, 4.5000000E+001, 2.5530928E-009, 5.4548429E-001
 2.4592736E-001, 5.4506021E-002, 7.4279770E-005, 1.0000000E+000, 1.1386343E+002, 4.4000000E+001, 4.0912661E-009, 5.4376884E-001
