s,Pa,m/s,
Time,"pres","error","iter"
 2.5117669E-001, 6.0241562E-002, 1.4928210E-003, 4.0000000E+000
 2.5236482E-001, 5.8641810E-002, 1.6497854E-003, 4.0000000E+000
 2.5355295E-001, 5.6933760E-002, 1.7936408E-003, 4.0000000E+000
 2.5474108E-001, 5.5129815E-002, 1.9228267E-003, 4.0000000E+000
 2.5592920E-001, 5.3242310E-002, 2.0359210E-003, 4.0000000E+000
 2.5711733E-001, 5.1283456E-002, 2.1315974E-003, 4.0000000E+000
 2.5830546E-001, 4.9265311E-002, 2.2090729E-003, 4.0000000E+000
 2.5949358E-001, 4.7199779E-002, 2.2679176E-003, 4.0000000E+000
 2.6068171E-001, 4.5098630E-002, 2.3080051E-003, 4.0000000E+000
 2.6186984E-001, 4.2973547E-002, 2.3294799E-003, 4.0000000E+000
 2.6305797E-001, 4.0836202E-002, 2.3327256E-003, 4.0000000E+000
 2.6424609E-001, 3.8698339E-002, 2.3183283E-003, 4.0000000E+000
 2.6543422E-001, 3.6571861E-002, 2.2870313E-003, 4.0000000E+000
 2.6662235E-001, 3.4468908E-002, 2.2396900E-003, 4.0000000E+000
 2.6781048E-001, 3.2401909E-002, 2.1772295E-003, 4.0000000E+000
 2.6887753E-001, 2.8217953E-002, 2.1029718E-003, 4.0000000E+000
 2.6994458E-001, 2.6051893E-002, 2.0155945E-003, 4.0000000E+000
 2.7101163E-001, 2.3968618E-002, 1.9157393E-003, 4.0000000E+000
 2.7207868E-001, 2.1982796E-002, 1.8043241E-003, 4.0000000E+000
 2.7421278E-001, 1.9235480E-002, 1.6165196E-003, 4.0000000E+000
 2.7634688E-001, 1.6028329E-002, 1.3363601E-003, 4.0000000E+000
 2.7848098E-001, 1.3457430E-002, 1.0272647E-003, 4.0000000E+000
 2.8061508E-001, 1.1606461E-002, 6.9738488E-004, 4.0000000E+000
 2.8274918E-001, 1.1098611E-002, 3.5962437E-004, 1.0000000E+000
 2.8488329E-001, 1.1004089E-002, 8.5727713E-005, 1.0000000E+000
 2.8701739E-001, 1.1019930E-002, 3.2135643E-004, 1.0000000E+000
 2.8808444E-001, 1.1654788E-002, 5.7318585E-004, 4.0000000E+000
 2.9021854E-001, 1.2935480E-002, 8.1113863E-004, 4.0000000E+000
 2.9235264E-001, 1.5189836E-002, 1.1051259E-003, 4.0000000E+000
 2.9448674E-001, 1.8023170E-002, 1.3667975E-003, 4.0000000E+000
 2.9662084E-001, 2.1338349E-002, 1.5898679E-003, 4.0000000E+000
 2.9875494E-001, 2.5032609E-002, 1.7689660E-003, 4.0000000E+000
 3.0088904E-001, 2.8999803E-002, 1.8990365E-003, 4.0000000E+000
 3.0302315E-001, 3.3131922E-002, 1.9756768E-003, 4.0000000E+000
 3.0409020E-001, 3.6274558E-002, 1.9980367E-003, 4.0000000E+000
 3.0622430E-001, 3.9401239E-002, 1.9845014E-003, 4.0000000E+000
 3.0835840E-001, 4.3470521E-002, 1.9190785E-003, 4.0000000E+000
 3.1049250E-001, 4.7328902E-002, 1.7993084E-003, 4.0000000E+000
 3.1262660E-001, 5.0877042E-002, 1.6300691E-003, 4.0000000E+000
 3.1476070E-001, 5.4023552E-002, 1.4180165E-003, 4.0000000E+000
 3.1689480E-001, 5.6687452E-002, 1.1709460E-003, 4.0000000E+000
 3.1902890E-001, 5.8800421E-002, 8.9717626E-004, 4.0000000E+000
 3.2009596E-001, 6.0010601E-002, 6.7975055E-004, 4.0000000E+000
 3.2223006E-001, 6.0580096E-002, 4.5559264E-004, 2.5000000E+000
 3.2414380E-001, 6.0514353E-002, 1.8042210E-004, 1.0000000E+000
 3.2605755E-001, 6.0312996E-002, 1.2595551E-004, 1.0000000E+000
 3.2892816E-001, 5.9931738E-002, 4.1143387E-004, 2.0000000E+000
 3.3084191E-001, 5.8593395E-002, 7.2130217E-004, 4.0000000E+000
 3.3275565E-001, 5.6576449E-002, 9.4904537E-004, 4.0000000E+000
 3.3466940E-001, 5.4032986E-002, 1.1475863E-003, 4.0000000E+000
 3.3658314E-001, 5.1034097E-002, 1.3100727E-003, 4.0000000E+000
 3.3849689E-001, 4.7675043E-002, 1.4311806E-003, 4.0000000E+000
 3.4041063E-001, 4.4067328E-002, 1.5081715E-003, 4.0000000E+000
 3.4232438E-001, 4.0329680E-002, 1.5414027E-003, 4.0000000E+000
 3.4423812E-001, 3.6579594E-002, 1.5328792E-003, 4.0000000E+000
 3.4615187E-001, 3.2927191E-002, 1.4852159E-003, 4.0000000E+000
 3.4806561E-001, 2.9472000E-002, 1.4009188E-003, 4.0000000E+000
 3.5093623E-001, 2.5583215E-002, 1.2456111E-003, 4.0000000E+000
 3.5284998E-001, 2.2247100E-002, 1.0439412E-003, 4.0000000E+000
 3.5476372E-001, 2.0102409E-002, 8.4947079E-004, 4.0000000E+000
 3.5667747E-001, 1.8462889E-002, 6.3169257E-004, 4.0000000E+000
 3.5859121E-001, 1.7954526E-002, 4.0366821E-004, 1.0000000E+000
 3.6050496E-001, 1.7799528E-002, 1.7340891E-004, 1.0000000E+000
 3.6241870E-001, 1.7721843E-002, 8.3649162E-005, 1.0000000E+000
 3.6433245E-001, 1.7720979E-002, 2.9597238E-004, 1.0000000E+000
 3.6624619E-001, 1.8098197E-002, 5.2623541E-004, 2.5000000E+000
 3.6815994E-001, 1.9661607E-002, 7.3647366E-004, 4.0000000E+000
 3.7007368E-001, 2.1676467E-002, 9.2132580E-004, 4.0000000E+000
 3.7294430E-001, 2.4749140E-002, 1.1085859E-003, 4.0000000E+000
 3.7485804E-001, 2.8259696E-002, 1.2486517E-003, 4.0000000E+000
 3.7658032E-001, 3.3163195E-002, 1.3097132E-003, 4.0000000E+000
 3.7830260E-001, 3.6649001E-002, 1.3317463E-003, 4.0000000E+000
 3.8002488E-001, 4.0138028E-002, 1.3181636E-003, 4.0000000E+000
 3.8260829E-001, 4.4345594E-002, 1.2498181E-003, 4.0000000E+000
 3.8433057E-001, 4.8244524E-002, 1.1326935E-003, 4.0000000E+000
 3.8605285E-001, 5.1001610E-002, 1.0037222E-003, 4.0000000E+000
 3.8863627E-001, 5.3858584E-002, 8.0592765E-004, 4.0000000E+000
 3.9035855E-001, 5.6030624E-002, 5.7973697E-004, 4.0000000E+000
 3.9208083E-001, 5.6930571E-002, 3.8667244E-004, 1.0000000E+000
 3.9466424E-001, 5.6773249E-002, 1.5674737E-004, 1.0000000E+000
 3.9638652E-001, 5.6510331E-002, 1.1198276E-004, 1.0000000E+000
 3.9810880E-001, 5.6217549E-002, 2.8527001E-004, 1.0000000E+000
 4.0069222E-001, 5.5565922E-002, 5.1323930E-004, 3.0000000E+000
