s,Pa,m/s,,s,,,
Time,"pres","error","iter","cpu","scarc-iter","scarc-res","scarc-rate"
 1.7122544E-001, 5.6207770E-002, 0.0000000E+000, 1.0000000E+000, 3.2311091E+002, 3.9000000E+001, 6.4419924E-009, 5.0848912E-001
 1.7286386E-001, 5.6175809E-002, 0.0000000E+000, 1.0000000E+000, 3.2983650E+002, 3.9000000E+001, 6.0792841E-009, 5.0767431E-001
 1.7450228E-001, 5.6143574E-002, 0.0000000E+000, 1.0000000E+000, 3.3552046E+002, 3.9000000E+001, 5.9867845E-009, 5.0741445E-001
 1.7614070E-001, 5.6111066E-002, 0.0000000E+000, 1.0000000E+000, 3.4237144E+002, 3.9000000E+001, 6.5052873E-009, 5.0843525E-001
 1.7777911E-001, 5.6078285E-002, 0.0000000E+000, 1.0000000E+000, 3.4842045E+002, 3.9000000E+001, 5.4955942E-009, 5.0617971E-001
 1.7941753E-001, 5.6045232E-002, 0.0000000E+000, 1.0000000E+000, 3.5514805E+002, 3.9000000E+001, 6.5378352E-009, 5.0837633E-001
 1.8105595E-001, 5.6011908E-002, 0.0000000E+000, 1.0000000E+000, 3.6168519E+002, 3.9000000E+001, 5.6194565E-009, 5.0634423E-001
 1.8269437E-001, 5.5978313E-002, 0.0000000E+000, 1.0000000E+000, 3.6395857E+002, 3.9000000E+001, 6.3347026E-009, 5.0783849E-001
 1.8433278E-001, 5.5944447E-002, 0.0000000E+000, 1.0000000E+000, 3.6473713E+002, 3.9000000E+001, 6.9802879E-009, 5.0903931E-001
 1.8580511E-001, 5.5920603E-002, 0.0000000E+000, 1.0000000E+000, 3.6885908E+002, 3.9000000E+001, 7.0288255E-009, 5.1046916E-001
 1.8727744E-001, 5.5889774E-002, 0.0000000E+000, 1.0000000E+000, 3.7559483E+002, 3.9000000E+001, 5.6770986E-009, 5.0761848E-001
 1.8874976E-001, 5.5858728E-002, 0.0000000E+000, 1.0000000E+000, 3.8265611E+002, 3.8000000E+001, 9.6459056E-009, 5.0558545E-001
 1.9022209E-001, 5.5827466E-002, 0.0000000E+000, 1.0000000E+000, 3.8903004E+002, 3.9000000E+001, 8.1657701E-009, 5.1225155E-001
 1.9169442E-001, 5.5795988E-002, 0.0000000E+000, 1.0000000E+000, 3.9699043E+002, 3.9000000E+001, 7.4040289E-009, 5.1090610E-001
 1.9316674E-001, 5.5764295E-002, 0.0000000E+000, 1.0000000E+000, 4.0351921E+002, 3.9000000E+001, 7.1273935E-009, 5.1034626E-001
 1.9463907E-001, 5.5732387E-002, 0.0000000E+000, 1.0000000E+000, 4.1030116E+002, 3.9000000E+001, 6.3786193E-009, 5.0883435E-001
 1.9611140E-001, 5.5700266E-002, 0.0000000E+000, 1.0000000E+000, 4.1708922E+002, 3.9000000E+001, 6.2966334E-009, 5.0860364E-001
 1.9758372E-001, 5.5667931E-002, 0.0000000E+000, 1.0000000E+000, 4.1889961E+002, 3.9000000E+001, 6.5231138E-009, 5.0900224E-001
 1.9905605E-001, 5.5635383E-002, 0.0000000E+000, 1.0000000E+000, 4.1956874E+002, 3.9000000E+001, 7.2411594E-009, 5.1030401E-001
 2.0052838E-001, 5.5602622E-002, 0.0000000E+000, 1.0000000E+000, 4.2651646E+002, 3.9000000E+001, 8.2606855E-009, 5.1196692E-001
 2.0200071E-001, 5.5569650E-002, 0.0000000E+000, 1.0000000E+000, 4.3307371E+002, 3.9000000E+001, 8.8442946E-009, 5.1279977E-001
 2.0347303E-001, 5.5536466E-002, 0.0000000E+000, 1.0000000E+000, 4.3954490E+002, 3.9000000E+001, 9.3154977E-009, 5.1341821E-001
 2.0494536E-001, 5.5503071E-002, 0.0000000E+000, 1.0000000E+000, 4.4569276E+002, 3.9000000E+001, 9.4243200E-009, 5.1350627E-001
 2.0641769E-001, 5.5469466E-002, 0.0000000E+000, 1.0000000E+000, 4.5460292E+002, 4.0000000E+001, 3.1585711E-009, 5.0799491E-001
 2.0789001E-001, 5.5435651E-002, 0.0000000E+000, 1.0000000E+000, 4.6150007E+002, 3.9000000E+001, 6.8079313E-009, 5.0911255E-001
 2.0936234E-001, 5.5401627E-002, 0.0000000E+000, 1.0000000E+000, 4.6832594E+002, 4.0000000E+001, 3.7011539E-009, 5.0988500E-001
 2.1068699E-001, 5.5377636E-002, 0.0000000E+000, 1.0000000E+000, 4.7711448E+002, 3.9000000E+001, 6.9247227E-009, 5.1059078E-001
 2.1201164E-001, 5.5346716E-002, 0.0000000E+000, 1.0000000E+000, 4.7922395E+002, 4.0000000E+001, 3.8817996E-009, 5.1172476E-001
 2.1333628E-001, 5.5315628E-002, 0.0000000E+000, 1.0000000E+000, 4.7997532E+002, 3.9000000E+001, 7.8137239E-009, 5.1205365E-001
 2.1466093E-001, 5.5284372E-002, 0.0000000E+000, 1.0000000E+000, 4.8063753E+002, 3.9000000E+001, 9.6463167E-009, 5.1476707E-001
 2.1598558E-001, 5.5252948E-002, 0.0000000E+000, 1.0000000E+000, 4.8701372E+002, 4.0000000E+001, 4.2071392E-009, 5.1257950E-001
 2.1731023E-001, 5.5221358E-002, 0.0000000E+000, 1.0000000E+000, 4.9380604E+002, 3.9000000E+001, 8.8865270E-009, 5.1356406E-001
 2.1863487E-001, 5.5189601E-002, 0.0000000E+000, 1.0000000E+000, 5.0048628E+002, 4.0000000E+001, 4.9916554E-009, 5.1465624E-001
 2.1995952E-001, 5.5157678E-002, 0.0000000E+000, 1.0000000E+000, 5.0685032E+002, 4.0000000E+001, 4.8369059E-009, 5.1419135E-001
 2.2128417E-001, 5.5125589E-002, 0.0000000E+000, 1.0000000E+000, 5.1487468E+002, 4.0000000E+001, 3.9540944E-009, 5.1154750E-001
 2.2260882E-001, 5.5093335E-002, 0.0000000E+000, 1.0000000E+000, 5.2186656E+002, 4.0000000E+001, 5.4167951E-009, 5.1552811E-001
 2.2393346E-001, 5.5060916E-002, 0.0000000E+000, 1.0000000E+000, 5.2903270E+002, 4.0000000E+001, 6.1592760E-009, 5.1712532E-001
 2.2525811E-001, 5.5028333E-002, 0.0000000E+000, 1.0000000E+000, 5.3485350E+002, 4.0000000E+001, 6.6002340E-009, 5.1795865E-001
 2.2658276E-001, 5.4995585E-002, 0.0000000E+000, 1.0000000E+000, 5.3605644E+002, 4.0000000E+001, 7.0301700E-009, 5.1871473E-001
 2.2790741E-001, 5.4962674E-002, 0.0000000E+000, 1.0000000E+000, 5.3725548E+002, 4.0000000E+001, 7.6877530E-009, 5.1981349E-001
 2.2923205E-001, 5.4929600E-002, 0.0000000E+000, 1.0000000E+000, 5.4254082E+002, 4.0000000E+001, 8.2484358E-009, 5.2066668E-001
 2.3055670E-001, 5.4896363E-002, 0.0000000E+000, 1.0000000E+000, 5.4980424E+002, 4.0000000E+001, 8.4912836E-009, 5.2098183E-001
 2.3188135E-001, 5.4862964E-002, 0.0000000E+000, 1.0000000E+000, 5.5720323E+002, 4.0000000E+001, 9.0113602E-009, 5.2169370E-001
 2.3320600E-001, 5.4829403E-002, 0.0000000E+000, 1.0000000E+000, 5.6355253E+002, 4.0000000E+001, 9.0904812E-009, 5.2174459E-001
 2.3453064E-001, 5.4795680E-002, 0.0000000E+000, 1.0000000E+000, 5.7158848E+002, 4.0000000E+001, 9.1776457E-009, 5.2180577E-001
 2.3585529E-001, 5.4761796E-002, 0.0000000E+000, 1.0000000E+000, 5.7840672E+002, 4.0000000E+001, 9.0292930E-009, 5.2152983E-001
 2.3717994E-001, 5.4727752E-002, 0.0000000E+000, 1.0000000E+000, 5.8605223E+002, 4.0000000E+001, 9.8108587E-009, 5.2254971E-001
 2.3850459E-001, 5.4693548E-002, 0.0000000E+000, 1.0000000E+000, 5.9249174E+002, 4.1000000E+001, 3.6053367E-009, 5.1802053E-001
 2.3982923E-001, 5.4659184E-002, 0.0000000E+000, 1.0000000E+000, 5.9367235E+002, 4.1000000E+001, 3.4906758E-009, 5.1755074E-001
 2.4101947E-001, 5.4635134E-002, 1.3877788E-017, 1.0000000E+000, 5.9455858E+002, 4.1000000E+001, 3.4184413E-009, 5.1858006E-001
 2.4220970E-001, 5.4604023E-002, 0.0000000E+000, 1.0000000E+000, 5.9881114E+002, 4.1000000E+001, 3.0231093E-009, 5.1697276E-001
 2.4339994E-001, 5.4572783E-002, 1.3877788E-017, 1.0000000E+000, 6.0693413E+002, 4.1000000E+001, 2.7331883E-009, 5.1564793E-001
 2.4459017E-001, 5.4541415E-002, 1.3877788E-017, 1.0000000E+000, 6.1418876E+002, 4.1000000E+001, 2.1053127E-009, 5.1232096E-001
 2.4578041E-001, 5.4509920E-002, 1.3877788E-017, 1.0000000E+000, 6.2217064E+002, 4.1000000E+001, 2.7656004E-009, 5.1568593E-001
 2.4697064E-001, 5.4478298E-002, 1.3877788E-017, 1.0000000E+000, 6.3064311E+002, 4.1000000E+001, 3.8642564E-009, 5.1985501E-001
 2.4816088E-001, 5.4446549E-002, 1.3877788E-017, 1.0000000E+000, 6.3805589E+002, 4.1000000E+001, 4.8748169E-009, 5.2275319E-001
