s,Pa,m/s,,s
Time,"pres","error","iter","cpu"
 2.1732427E-001, 5.5222929E-002, 9.9861841E-006, 1.5000000E+001, 4.7011092E+002
 2.1864896E-001, 5.5182419E-002, 9.8755931E-006, 3.0000000E+000, 4.7119796E+002
 2.1997364E-001, 5.5158407E-002, 9.9676941E-006, 1.6000000E+001, 4.7310772E+002
 2.2129832E-001, 5.5114443E-002, 9.8657983E-006, 3.0000000E+000, 4.7430852E+002
 2.2262301E-001, 5.5092295E-002, 9.9942445E-006, 1.5000000E+001, 4.7624321E+002
 2.2394769E-001, 5.5050172E-002, 9.9125714E-006, 3.0000000E+000, 4.7736034E+002
 2.2527237E-001, 5.5029916E-002, 9.9893514E-006, 1.7000000E+001, 4.7945278E+002
 2.2659706E-001, 5.4984224E-002, 9.8995826E-006, 3.0000000E+000, 4.8058294E+002
 2.2792174E-001, 5.4963101E-002, 9.9715834E-006, 1.7000000E+001, 4.8275487E+002
 2.2924642E-001, 5.4919217E-002, 9.8805474E-006, 3.0000000E+000, 4.8392318E+002
 2.3057111E-001, 5.4897289E-002, 9.9680966E-006, 1.7000000E+001, 4.8613707E+002
 2.3189579E-001, 5.4855254E-002, 9.8768630E-006, 3.0000000E+000, 4.8740410E+002
 2.3322047E-001, 5.4832539E-002, 9.9625720E-006, 1.7000000E+001, 4.8957253E+002
 2.3454516E-001, 5.4787195E-002, 9.8854149E-006, 3.0000000E+000, 4.9080355E+002
 2.3586984E-001, 5.4764082E-002, 9.9758854E-006, 1.7000000E+001, 4.9288656E+002
 2.3719452E-001, 5.4720720E-002, 9.8823067E-006, 3.0000000E+000, 4.9403884E+002
 2.3851920E-001, 5.4696825E-002, 9.9961676E-006, 1.6000000E+001, 4.9611553E+002
 2.3984389E-001, 5.4652789E-002, 9.9173617E-006, 3.0000000E+000, 4.9736629E+002
 2.4103415E-001, 5.4638590E-002, 9.9728660E-006, 1.6000000E+001, 4.9936010E+002
 2.4222442E-001, 5.4571634E-002, 9.9176657E-006, 3.0000000E+000, 5.0012056E+002
 2.4341468E-001, 5.4575130E-002, 9.9899827E-006, 1.3000000E+001, 5.0225875E+002
 2.4460494E-001, 5.4507546E-002, 9.9348771E-006, 3.0000000E+000, 5.0302099E+002
 2.4579521E-001, 5.4513643E-002, 9.9700301E-006, 1.5000000E+001, 5.0535814E+002
 2.4698547E-001, 5.4445356E-002, 9.8870284E-006, 3.0000000E+000, 5.0604122E+002
 2.4817573E-001, 5.4444432E-002, 9.9914122E-006, 1.3000000E+001, 5.0797967E+002
