s,m3/s,m3/s,m3/s,m3/s,m/s,
Time,flow_in,flow_out,in_net,out_net,error,iter
 1.65565374189094E+000, 9.09836178392079E-001, 6.86185585174128E-003, 9.09836178392079E-001, 4.28904537923374E-003, 8.74948327148260E-002, 1.00000000000000E+000
 1.73408374896473E+000, 9.22895598514536E-001, 7.52539941136465E-003, 9.22895598514536E-001, 4.41883025795784E-003, 7.82648858357891E-002, 1.00000000000000E+000
 1.81251375603852E+000, 9.34195841712090E-001, 8.23819174824428E-003, 9.34195841712090E-001, 4.56075319373763E-003, 7.77697490638821E-002, 1.00000000000000E+000
 1.89094376311231E+000, 9.43720336650730E-001, 9.00215954301574E-003, 9.43720336650730E-001, 4.70950111215300E-003, 7.56642787348315E-002, 1.00000000000000E+000
 1.96937377018610E+000, 9.51520644705710E-001, 9.82122970334303E-003, 9.51520644705710E-001, 4.87987896153300E-003, 7.05282614539415E-002, 1.00000000000000E+000
 2.04780377725990E+000, 9.57919888277788E-001, 1.07282573760985E-002, 9.57919888277788E-001, 5.09662691243868E-003, 6.83396893982423E-002, 1.00000000000000E+000
 2.12623378433369E+000, 9.63220034627257E-001, 1.17596513530565E-002, 9.63220034627257E-001, 5.38770055353867E-003, 6.69460640221035E-002, 1.00000000000000E+000
 2.20466379140748E+000, 9.67634530275364E-001, 1.29513789670155E-002, 9.67634530275364E-001, 5.78166544848944E-003, 6.63924702120974E-002, 1.00000000000000E+000
 2.28309379848127E+000, 9.71371616798939E-001, 1.43347774668428E-002, 9.71371616798939E-001, 6.30458563700015E-003, 6.41864028976786E-002, 1.00000000000000E+000
 2.35324315956917E+000, 9.73944406980052E-001, 1.56671598470075E-002, 9.73944406980052E-001, 6.67353627670240E-003, 5.86493549514665E-002, 1.00000000000000E+000
 2.42339252065707E+000, 9.76232011434588E-001, 1.71422325450277E-002, 9.76232011434588E-001, 7.17062274858939E-003, 5.89718451111093E-002, 1.00000000000000E+000
 2.49354188174497E+000, 9.78197735332309E-001, 1.87694952221369E-002, 9.78197735332309E-001, 7.82403467630030E-003, 6.82004461315912E-002, 1.00000000000000E+000
 2.56369124283287E+000, 9.79773547522574E-001, 2.05676744786103E-002, 9.79773547522574E-001, 8.67086201860025E-003, 6.52174517030118E-002, 1.00000000000000E+000
 2.63384060392077E+000, 9.81038815105051E-001, 2.25527452424930E-002, 9.81038815105051E-001, 9.74292983285611E-003, 5.95842690226379E-002, 1.00000000000000E+000
 2.70398996500868E+000, 9.82168498148855E-001, 2.47337859084474E-002, 9.82168498148855E-001, 1.10668844749879E-002, 6.72040338484026E-002, 1.00000000000000E+000
 2.77413932609658E+000, 9.83325147682520E-001, 2.71106347102323E-002, 9.83325147682520E-001, 1.26663588976327E-002, 6.14830962951094E-002, 1.00000000000000E+000
 2.84428868718448E+000, 9.84630309777498E-001, 2.96691334281187E-002, 9.84630309777498E-001, 1.45568924303066E-002, 6.85058870463132E-002, 1.00000000000000E+000
 2.91443804827238E+000, 9.86077232602704E-001, 3.23745313381344E-002, 9.86077232602704E-001, 1.67410381089433E-002, 6.79710686373624E-002, 1.00000000000000E+000
 2.98458740936028E+000, 9.87660634720464E-001, 3.49086377461540E-002, 9.87660634720464E-001, 1.88262453449499E-002, 6.38031269120557E-002, 1.00000000000000E+000
 3.05473677044818E+000, 9.88953876930535E-001, 3.75214763610927E-002, 9.88953876930535E-001, 2.13477536079977E-002, 7.95139772536183E-002, 1.00000000000000E+000
 3.12488613153609E+000, 9.90180015742329E-001, 3.99295637177560E-002, 9.90180015742329E-001, 2.39725562948634E-002, 7.52472157217097E-002, 1.00000000000000E+000
 3.19503549262399E+000, 9.91199221452227E-001, 4.22510946098746E-002, 9.91199221452227E-001, 2.69806308490530E-002, 7.90198727786334E-002, 1.00000000000000E+000
