s,m3/s,m3/s,m3/s,m3/s,m/s,
Time,flow_in,flow_out,in_net,out_net,error,iter
 1.41915965129785E+000, 8.72455607156962E-001, 8.80542791409316E-001, 8.72455607156962E-001, 8.80542791409316E-001, 9.99502807071062E-004, 8.80000000000000E+001
 1.49595747622585E+000, 8.89637615477318E-001, 8.99407016513386E-001, 8.89637615477318E-001, 8.99407016513386E-001, 9.98744809649788E-004, 9.70000000000000E+001
 1.57275530115385E+000, 9.04627350224197E-001, 9.19308454447337E-001, 9.04627350224197E-001, 9.19308454447337E-001, 9.99547534239920E-004, 9.30000000000000E+001
 1.64955312608185E+000, 9.17730777281240E-001, 9.38673002479219E-001, 9.17730777281240E-001, 9.38673002479219E-001, 9.75809605114342E-004, 1.40000000000000E+001
 1.72635095100985E+000, 9.29082274736045E-001, 9.57444033576679E-001, 9.29082274736045E-001, 9.57444033576679E-001, 9.97843693899658E-004, 1.80000000000000E+001
 1.80314877593786E+000, 9.38824654827294E-001, 9.72209666153064E-001, 9.38824654827294E-001, 9.72209666153064E-001, 9.99969256795907E-004, 3.68000000000000E+002
 1.87994660086586E+000, 9.47317000512817E-001, 9.85264482990062E-001, 9.47317000512817E-001, 9.85264482990062E-001, 9.99680260516778E-004, 2.50000000000000E+001
 1.95674442579386E+000, 9.54664966703903E-001, 9.96704350940357E-001, 9.54664966703903E-001, 9.96704350940357E-001, 9.96898104835220E-004, 2.60000000000000E+001
 2.03354225072186E+000, 9.61007251498643E-001, 1.00399932117523E+000, 9.61007251498643E-001, 1.00399932117523E+000, 9.99834211884876E-004, 1.38000000000000E+002
 2.11034007564986E+000, 9.66507131734275E-001, 1.00826587267263E+000, 9.66507131734275E-001, 1.00826587267263E+000, 9.99984072369009E-004, 1.52000000000000E+002
 2.18713790057786E+000, 9.71230875962437E-001, 1.00490365875212E+000, 9.71230875962437E-001, 1.00490365875212E+000, 9.99923686839321E-004, 5.84000000000000E+002
 2.26393572550587E+000, 9.75302272815273E-001, 1.00116733740226E+000, 9.75302272815273E-001, 1.00116733740226E+000, 9.99479439639517E-004, 1.17000000000000E+002
 2.34073355043387E+000, 9.78809879844429E-001, 9.97918254673956E-001, 9.78809879844429E-001, 9.97918254673956E-001, 9.99524340084545E-004, 5.70000000000000E+001
 2.40649099555682E+000, 9.81814918938504E-001, 9.95461687203860E-001, 9.81814918938504E-001, 9.95461687203860E-001, 9.88520381018154E-004, 1.20000000000000E+001
 2.47224844067978E+000, 9.84094524691813E-001, 9.93332699373794E-001, 9.84094524691813E-001, 9.93332699373794E-001, 9.85721669713526E-004, 1.30000000000000E+001
 2.53800588580273E+000, 9.86082673825935E-001, 9.91589931568069E-001, 9.86082673825935E-001, 9.91589931568069E-001, 9.75829430624634E-004, 1.10000000000000E+001
 2.60376333092569E+000, 9.87814367634130E-001, 9.90249145060845E-001, 9.87814367634130E-001, 9.90249145060845E-001, 9.62400264586369E-004, 1.00000000000000E+001
 2.66952077604865E+000, 9.89322048854018E-001, 9.89264252617681E-001, 9.89322048854018E-001, 9.89264252617681E-001, 9.64845090050792E-004, 9.00000000000000E+000
 2.73527822117160E+000, 9.90632552513860E-001, 9.88585610502489E-001, 9.90632552513860E-001, 9.88585610502489E-001, 9.86987814903917E-004, 8.00000000000000E+000
 2.80761141080685E+000, 9.91767760595078E-001, 9.88100081977488E-001, 9.91767760595078E-001, 9.88100081977488E-001, 8.90963996761723E-004, 1.10000000000000E+001
 2.87994460044210E+000, 9.92835631586619E-001, 9.87809065870165E-001, 9.92835631586619E-001, 9.87809065870165E-001, 9.62499285424912E-004, 1.30000000000000E+001
 2.95227779007736E+000, 9.93758350558218E-001, 9.87723712715141E-001, 9.93758350558218E-001, 9.87723712715141E-001, 9.49773360900297E-004, 1.30000000000000E+001
 3.02461097971261E+000, 9.94562217889441E-001, 9.87935996512902E-001, 9.94562217889441E-001, 9.87935996512902E-001, 9.93196132279328E-004, 1.10000000000000E+001
 3.09694416934786E+000, 9.95262325199570E-001, 9.88469040964476E-001, 9.95262325199570E-001, 9.88469040964476E-001, 8.74446999016953E-004, 1.00000000000000E+001
 3.15821294250628E+000, 9.95867001565092E-001, 9.89124438142654E-001, 9.95867001565092E-001, 9.89124438142654E-001, 8.05193386444358E-004, 8.00000000000000E+000
 3.21948171566470E+000, 9.96320611374885E-001, 9.89973251575662E-001, 9.96320611374885E-001, 9.89973251575662E-001, 8.08829273648115E-004, 8.00000000000000E+000
 3.28075048882313E+000, 9.96716371935286E-001, 9.90968765556966E-001, 9.96716371935286E-001, 9.90968765556966E-001, 8.80461179336267E-004, 8.00000000000000E+000
 3.34201926198155E+000, 9.97062036961815E-001, 9.92059387518322E-001, 9.97062036961815E-001, 9.92059387518322E-001, 8.87856008676247E-004, 8.00000000000000E+000
 3.40328803513998E+000, 9.97363546456429E-001, 9.93212909017289E-001, 9.97363546456429E-001, 9.93212909017289E-001, 9.83344835029154E-004, 7.00000000000000E+000
 3.46455680829840E+000, 9.97626028043912E-001, 9.94294433989629E-001, 9.97626028043912E-001, 9.94294433989629E-001, 9.74763270163326E-004, 7.00000000000000E+000
 3.52582558145682E+000, 9.97853243510269E-001, 9.94834957129606E-001, 9.97853243510269E-001, 9.94834957129606E-001, 9.91018928828247E-004, 1.30000000000000E+001
 3.58709435461525E+000, 9.98063861234562E-001, 9.93958622409773E-001, 9.98063861234562E-001, 9.93958622409773E-001, 9.98614057067470E-004, 3.70000000000000E+001
 3.64836312777367E+000, 9.98264646377226E-001, 9.92162766042052E-001, 9.98264646377226E-001, 9.92162766042052E-001, 9.99201784543602E-004, 3.70000000000000E+001
 3.70963190093209E+000, 9.98447137554794E-001, 9.90188589704295E-001, 9.98447137554794E-001, 9.90188589704295E-001, 9.98343549607483E-004, 1.70000000000000E+001
 3.77090067409052E+000, 9.98610532247389E-001, 9.88172903923025E-001, 9.98610532247389E-001, 9.88172903923025E-001, 9.91062397437181E-004, 1.20000000000000E+001
 3.83216944724894E+000, 9.98756217904367E-001, 9.86150708338220E-001, 9.98756217904367E-001, 9.86150708338220E-001, 9.83414163458152E-004, 8.00000000000000E+000
 3.89343822040736E+000, 9.98886520305926E-001, 9.84051608801013E-001, 9.98886520305926E-001, 9.84051608801013E-001, 9.48226920142625E-004, 8.00000000000000E+000
 3.95470699356579E+000, 9.99002729798958E-001, 9.81902705123886E-001, 9.99002729798958E-001, 9.81902705123886E-001, 9.30528460732050E-004, 6.00000000000000E+000
 4.01597576672421E+000, 9.99107824929288E-001, 9.79636414885391E-001, 9.99107824929288E-001, 9.79636414885391E-001, 8.57445521223577E-004, 6.00000000000000E+000
 4.07724453988263E+000, 9.99203769086609E-001, 9.77302041998745E-001, 9.99203769086609E-001, 9.77302041998745E-001, 9.57964206151241E-004, 6.00000000000000E+000
 4.13851331304106E+000, 9.99293555422779E-001, 9.75010391326499E-001, 9.99293555422779E-001, 9.75010391326499E-001, 8.37658863585444E-004, 8.00000000000000E+000
 4.19354567550355E+000, 9.99377497528519E-001, 9.73178641786010E-001, 9.99377497528519E-001, 9.73178641786010E-001, 8.93395934723928E-004, 9.00000000000000E+000
 4.24857803796604E+000, 9.99454233759483E-001, 9.71655093121943E-001, 9.99454233759483E-001, 9.71655093121943E-001, 9.56978924640417E-004, 1.00000000000000E+001
 4.30361040042853E+000, 9.99527970626115E-001, 9.70466640796025E-001, 9.99527970626115E-001, 9.70466640796025E-001, 9.82091333315616E-004, 1.00000000000000E+001
 4.35864276289102E+000, 9.99597396186441E-001, 9.69637858177045E-001, 9.99597396186441E-001, 9.69637858177045E-001, 9.66904352925901E-004, 1.00000000000000E+001
 4.41367512535351E+000, 9.99659681044069E-001, 9.69217649227497E-001, 9.99659681044069E-001, 9.69217649227497E-001, 9.76002873705362E-004, 1.10000000000000E+001
 4.46870748781600E+000, 9.99710061995393E-001, 9.69363883796309E-001, 9.99710061995393E-001, 9.69363883796309E-001, 9.87316928793947E-004, 1.50000000000000E+001
 4.52373985027849E+000, 9.99745642709750E-001, 9.69963834478656E-001, 9.99745642709750E-001, 9.69963834478656E-001, 9.96412137375113E-004, 1.60000000000000E+001
 4.57877221274098E+000, 9.99767727134428E-001, 9.70974213584324E-001, 9.99767727134428E-001, 9.70974213584324E-001, 9.97029786619974E-004, 1.70000000000000E+001
 4.63380457520347E+000, 9.99780141967506E-001, 9.72334936270559E-001, 9.99780141967506E-001, 9.72334936270559E-001, 9.86678572495903E-004, 1.60000000000000E+001
 4.68883693766596E+000, 9.99786803252501E-001, 9.73989015453589E-001, 9.99786803252501E-001, 9.73989015453589E-001, 9.84256518338000E-004, 1.20000000000000E+001
 4.74386930012845E+000, 9.99790928062892E-001, 9.75900998838890E-001, 9.99790928062892E-001, 9.75900998838890E-001, 9.45136732048768E-004, 1.20000000000000E+001
 4.79890166259094E+000, 9.99794903583018E-001, 9.78030555222949E-001, 9.99794903583018E-001, 9.78030555222949E-001, 9.33366667822177E-004, 1.00000000000000E+001
 4.85943726129968E+000, 9.99799649553204E-001, 9.80589955640177E-001, 9.99799649553204E-001, 9.80589955640177E-001, 9.58206140726947E-004, 8.00000000000000E+000
 4.91997286000842E+000, 9.99806611333924E-001, 9.83331992475161E-001, 9.99806611333924E-001, 9.83331992475161E-001, 7.80670773700365E-004, 8.00000000000000E+000
 4.98050845871716E+000, 9.99815277110080E-001, 9.86204558688061E-001, 9.99815277110080E-001, 9.86204558688061E-001, 7.29661466999435E-004, 8.00000000000000E+000
 5.04104405742590E+000, 9.99825533846261E-001, 9.89220826642778E-001, 9.99825533846261E-001, 9.89220826642778E-001, 9.98320414424498E-004, 6.00000000000000E+000
 5.10157965613463E+000, 9.99836068296047E-001, 9.92330284093660E-001, 9.99836068296047E-001, 9.92330284093660E-001, 6.49438751693603E-004, 8.00000000000000E+000
 5.16211525484337E+000, 9.99848082906277E-001, 9.95577775635555E-001, 9.99848082906277E-001, 9.95577775635555E-001, 9.32904884525465E-004, 6.00000000000000E+000
 5.22265085355211E+000, 9.99861986380425E-001, 9.98902570615675E-001, 9.99861986380425E-001, 9.98902570615675E-001, 7.54654440797253E-004, 8.00000000000000E+000
 5.28318645226085E+000, 9.99881007323737E-001, 1.00229984702237E+000, 9.99881007323737E-001, 1.00229984702237E+000, 7.62945471042720E-004, 8.00000000000000E+000
 5.33701425051278E+000, 9.99905298179895E-001, 1.00533788832104E+000, 9.99905298179895E-001, 1.00533788832104E+000, 6.50272958046205E-004, 8.00000000000000E+000
 5.39084204876470E+000, 9.99936260644482E-001, 1.00835981477266E+000, 9.99936260644482E-001, 1.00835981477266E+000, 8.81719609369558E-004, 7.00000000000000E+000
 5.44466984701663E+000, 9.99972193552364E-001, 1.01133232600161E+000, 9.99972193552364E-001, 1.01133232600161E+000, 9.36540554246745E-004, 7.00000000000000E+000
 5.49849764526855E+000, 1.00001071010715E+000, 1.01420912537914E+000, 1.00001071010715E+000, 1.01420912537914E+000, 8.68163705951358E-004, 8.00000000000000E+000
 5.55232544352048E+000, 1.00004922397516E+000, 1.01693263144704E+000, 1.00004922397516E+000, 1.01693263144704E+000, 8.77168840611925E-004, 8.00000000000000E+000
 5.60615324177240E+000, 1.00008607984754E+000, 1.01950406268292E+000, 1.00008607984754E+000, 1.01950406268292E+000, 9.38663128695227E-004, 8.00000000000000E+000
 5.65998104002433E+000, 1.00012025248306E+000, 1.02196098345841E+000, 1.00012025248306E+000, 1.02196098345841E+000, 9.34478538844652E-004, 1.00000000000000E+001
