s,m3/s,m3/s,m3/s,m3/s,m/s,
Time,flow_in,flow_out,in_net,out_net,error,iter
 1.45399494807275E+000, 8.79433243843342E-001, 8.79433243843340E-001, 8.79433243843342E-001, 8.79433243843340E-001, 2.22044604925031E-016, 1.00000000000000E+000
 1.53472892024618E+000, 8.96479991319247E-001, 8.96479991319233E-001, 8.96479991319247E-001, 8.96479991319233E-001, 1.11022302462516E-016, 1.00000000000000E+000
 1.62353628963695E+000, 9.11230365000462E-001, 9.11230365000459E-001, 9.11230365000462E-001, 9.11230365000459E-001, 2.22044604925031E-016, 1.00000000000000E+000
 1.71234365902772E+000, 9.25135554644564E-001, 9.25135554644576E-001, 9.25135554644564E-001, 9.25135554644576E-001, 2.22044604925031E-016, 1.00000000000000E+000
 1.80115102841848E+000, 9.36934459642464E-001, 9.36934459642479E-001, 9.36934459642464E-001, 9.36934459642479E-001, 2.22044604925031E-016, 1.00000000000000E+000
 1.88995839780925E+000, 9.46925081663903E-001, 9.46925081663916E-001, 9.46925081663903E-001, 9.46925081663916E-001, 1.11022302462516E-016, 1.00000000000000E+000
 1.97876576720002E+000, 9.55369492159096E-001, 9.55369492159109E-001, 9.55369492159096E-001, 9.55369492159109E-001, 2.22044604925031E-016, 1.00000000000000E+000
 2.06757313659079E+000, 9.62496247186614E-001, 9.62496247186612E-001, 9.62496247186614E-001, 9.62496247186612E-001, 2.22044604925031E-016, 1.00000000000000E+000
 2.14587286175522E+000, 9.68503308210035E-001, 9.68503308210038E-001, 9.68503308210035E-001, 9.68503308210038E-001, 2.22044604925031E-016, 1.00000000000000E+000
 2.22417258691965E+000, 9.73007246120661E-001, 9.73007246120628E-001, 9.73007246120661E-001, 9.73007246120628E-001, 2.22044604925031E-016, 1.00000000000000E+000
 2.30247231208408E+000, 9.76874699721631E-001, 9.76874699721593E-001, 9.76874699721631E-001, 9.76874699721593E-001, 2.22044604925031E-016, 1.00000000000000E+000
 2.38077203724851E+000, 9.80193596965851E-001, 9.80193596965825E-001, 9.80193596965851E-001, 9.80193596965825E-001, 2.22044604925031E-016, 1.00000000000000E+000
 2.44958478537092E+000, 9.83040259052736E-001, 9.83040259052738E-001, 9.83040259052736E-001, 9.83040259052738E-001, 2.22044604925031E-016, 1.00000000000000E+000
 2.51839753349334E+000, 9.85204726761698E-001, 9.85204726761690E-001, 9.85204726761698E-001, 9.85204726761690E-001, 2.22044604925031E-016, 1.00000000000000E+000
 2.58721028161576E+000, 9.87094754435623E-001, 9.87094754435622E-001, 9.87094754435623E-001, 9.87094754435622E-001, 2.22044604925031E-016, 1.00000000000000E+000
 2.65602302973817E+000, 9.88744708700597E-001, 9.88744708700603E-001, 9.88744708700597E-001, 9.88744708700603E-001, 2.22044604925031E-016, 1.00000000000000E+000
 2.72483577786059E+000, 9.90184755913895E-001, 9.90184755913906E-001, 9.90184755913895E-001, 9.90184755913906E-001, 2.22044604925031E-016, 1.00000000000000E+000
 2.80052980079524E+000, 9.91441350606190E-001, 9.91441350606191E-001, 9.91441350606190E-001, 9.91441350606191E-001, 2.22044604925031E-016, 1.00000000000000E+000
