s,m3/s,m3/s,m3/s,m3/s,m/s,
Time,flow_in,flow_out,in_net,out_net,error,iter
 1.65236087491877E+000, 9.13990601007216E-001, 4.37601127026646E-003, 9.13990601007216E-001, 1.46114159110881E-003, 9.15373277054270E-002, 2.00000000000000E+000
 1.73086836695361E+000, 9.26804700760911E-001, 4.72698033481458E-003, 9.26804700760911E-001, 1.36142411183910E-003, 9.54728019830095E-002, 2.00000000000000E+000
 1.80937585898844E+000, 9.37184018994769E-001, 5.11542204738578E-003, 9.37184018994769E-001, 1.25674491078733E-003, 9.66324140312381E-002, 2.00000000000000E+000
 1.88788335102328E+000, 9.45475069842964E-001, 5.55165729378010E-003, 9.45475069842964E-001, 1.18914024644443E-003, 9.35086320001801E-002, 2.00000000000000E+000
 1.96639084305812E+000, 9.52310983751877E-001, 6.05975106820174E-003, 9.52310983751877E-001, 1.17077563550710E-003, 8.60449821938553E-002, 2.00000000000000E+000
 2.04489833509296E+000, 9.58060020103961E-001, 6.65639906206225E-003, 9.58060020103961E-001, 1.18811610528169E-003, 7.55514802583618E-002, 2.00000000000000E+000
 2.12340582712779E+000, 9.62900741289222E-001, 7.34555200495740E-003, 9.62900741289222E-001, 1.21139072960760E-003, 6.65049664099410E-002, 2.00000000000000E+000
 2.20191331916263E+000, 9.66983569434539E-001, 8.17265902378198E-003, 9.66983569434539E-001, 1.21177854302375E-003, 7.47724456220250E-002, 2.00000000000000E+000
 2.28042081119747E+000, 9.70539177214810E-001, 9.09200186774241E-003, 9.70539177214810E-001, 1.17746332874342E-003, 8.12020390464239E-002, 2.00000000000000E+000
 2.35892830323230E+000, 9.73774110511035E-001, 1.00774708708561E-002, 9.73774110511035E-001, 1.11213389074150E-003, 8.50702076780689E-002, 2.00000000000000E+000
 2.43743579526714E+000, 9.76800750650896E-001, 1.11200298198871E-002, 9.76800750650896E-001, 1.04188383607707E-003, 8.59002731333238E-002, 2.00000000000000E+000
 2.51594328730198E+000, 9.79622972820817E-001, 1.22119229642275E-002, 9.79622972820817E-001, 9.15689570503020E-004, 8.27173612732987E-002, 2.00000000000000E+000
 2.59445077933681E+000, 9.82372609788089E-001, 1.33312753257851E-002, 9.82372609788089E-001, 8.39843848310112E-004, 7.67817936539270E-002, 2.00000000000000E+000
 2.67295827137165E+000, 9.84986978922893E-001, 1.45543304799703E-002, 9.84986978922893E-001, 9.91934028363202E-004, 6.97305780902107E-002, 2.00000000000000E+000
 2.75146576340649E+000, 9.87298861873638E-001, 1.59022566810946E-002, 9.87298861873638E-001, 1.34664269876315E-003, 6.51309439115108E-002, 2.00000000000000E+000
 2.82997325544132E+000, 9.89251071333664E-001, 1.73699790031125E-002, 9.89251071333664E-001, 1.89869359432801E-003, 6.66917156941991E-002, 2.00000000000000E+000
 2.90848074747616E+000, 9.90857415349015E-001, 1.89415726022895E-002, 9.90857415349015E-001, 2.63603939989384E-003, 7.15530312044793E-002, 2.00000000000000E+000
 2.98698823951100E+000, 9.92095075920818E-001, 2.05549294122950E-002, 9.92095075920818E-001, 3.57329146995541E-003, 7.44387511377396E-002, 2.00000000000000E+000
 3.06549573154584E+000, 9.92947839015217E-001, 2.21208876392259E-002, 9.92947839015217E-001, 4.79421832797562E-003, 7.50461050260992E-002, 2.00000000000000E+000
 3.14400322358067E+000, 9.93436227419031E-001, 2.35884411677397E-002, 9.93436227419031E-001, 6.50628991563365E-003, 7.32223604095884E-002, 2.00000000000000E+000
 3.22251071561551E+000, 9.93623136467380E-001, 2.49355231658645E-002, 9.93623136467380E-001, 8.85119694567389E-003, 6.90568721854308E-002, 2.00000000000000E+000
 3.30101820765035E+000, 9.93600756391761E-001, 2.60917816003144E-002, 9.93600756391761E-001, 1.16553945071832E-002, 6.28298315959219E-002, 2.00000000000000E+000
 3.37952569968518E+000, 9.93490666150023E-001, 2.67778460202628E-002, 9.93490666150023E-001, 1.42975262417761E-002, 6.34299577494934E-002, 2.00000000000000E+000
 3.45803319172002E+000, 9.93403583838458E-001, 2.78142884673652E-002, 9.93403583838458E-001, 1.69791794677473E-002, 5.84835117286744E-002, 2.00000000000000E+000
 3.53654068375486E+000, 9.93437538580320E-001, 2.86849320922012E-002, 9.93437538580320E-001, 2.00007929736159E-002, 5.88023466936844E-002, 2.00000000000000E+000
 3.61504817578969E+000, 9.93605108854170E-001, 3.03151809653379E-002, 9.93605108854170E-001, 2.35212972924413E-002, 4.92084716271418E-002, 2.00000000000000E+000
 3.69355566782453E+000, 9.93843664824962E-001, 3.30221544390479E-002, 9.93843664824962E-001, 2.77394731193028E-002, 5.38306418500955E-002, 2.00000000000000E+000
 3.77206315985937E+000, 9.94182626312481E-001, 3.62188018647757E-002, 9.94182626312481E-001, 3.22131403654281E-002, 5.41816585550002E-002, 2.00000000000000E+000
 3.85057065189421E+000, 9.94470866172810E-001, 4.06753131310446E-002, 9.94470866172810E-001, 3.73168253374015E-002, 5.13783803536559E-002, 2.00000000000000E+000
 3.92907814392904E+000, 9.94700866618752E-001, 4.63512518357047E-002, 9.94700866618752E-001, 4.38738775691823E-002, 6.27361280493161E-002, 2.00000000000000E+000
 4.00758563596388E+000, 9.94857706657503E-001, 5.31198897441988E-002, 9.94857706657503E-001, 5.12936300217110E-002, 9.86650240903002E-002, 1.00000000000000E+000
 4.08609312799872E+000, 9.94743646957336E-001, 6.30862837660996E-002, 9.94743646957336E-001, 6.26023636683696E-002, 6.87857315412714E-002, 2.00000000000000E+000
 4.16460062003355E+000, 9.94559947775518E-001, 7.58576794025739E-002, 9.94559947775518E-001, 7.53297324352794E-002, 9.78824728198500E-002, 1.00000000000000E+000
 4.24310811206839E+000, 9.94158843070046E-001, 9.26099152721050E-002, 9.94158843070046E-001, 9.23028714492071E-002, 7.78538639663497E-002, 2.00000000000000E+000
 4.32161560410323E+000, 9.93667516210322E-001, 1.11581297891964E-001, 9.93667516210322E-001, 1.11581297891964E-001, 5.24152860577352E-002, 2.00000000000000E+000
 4.38634960137513E+000, 9.93271192306268E-001, 1.30335025021425E-001, 9.93271192306268E-001, 1.30335025021425E-001, 5.18540247267464E-002, 2.00000000000000E+000
 4.45108359864704E+000, 9.92842287195989E-001, 1.50291246562399E-001, 9.92842287195989E-001, 1.50291246562399E-001, 9.93242739777236E-002, 1.00000000000000E+000
 4.51581759591894E+000, 9.92451790699233E-001, 1.73246977076662E-001, 9.92451790699233E-001, 1.73246977076662E-001, 5.42759700667892E-002, 2.00000000000000E+000
 4.58055159319085E+000, 9.92128341430930E-001, 1.99521252595404E-001, 9.92128341430930E-001, 1.99521252595404E-001, 4.75042219513464E-002, 2.00000000000000E+000
 4.64528559046275E+000, 9.91839406663466E-001, 2.29373835314702E-001, 9.91839406663466E-001, 2.29373835314702E-001, 4.95268266440494E-002, 2.00000000000000E+000
 4.71001958773466E+000, 9.91565290529181E-001, 2.62771006564039E-001, 9.91565290529181E-001, 2.62771006564039E-001, 4.71709128803863E-002, 2.00000000000000E+000
 4.77475358500657E+000, 9.91300647514262E-001, 2.99542648513750E-001, 9.91300647514262E-001, 2.99542648513750E-001, 4.80278138355190E-002, 2.00000000000000E+000
 4.83948758227847E+000, 9.91073038266744E-001, 3.39427187657024E-001, 9.91073038266744E-001, 3.39427187657024E-001, 5.27012489391032E-002, 2.00000000000000E+000
 4.90422157955038E+000, 9.90727765558235E-001, 3.80257354027605E-001, 9.90727765558235E-001, 3.80257354027605E-001, 8.57247097406770E-002, 1.00000000000000E+000
 4.96895557682228E+000, 9.90756188987524E-001, 4.23440454602517E-001, 9.90756188987524E-001, 4.23440454602517E-001, 5.89054386518586E-002, 2.00000000000000E+000
 5.03368957409419E+000, 9.90970744276251E-001, 4.68158025758575E-001, 9.90970744276251E-001, 4.68158025758575E-001, 4.81270933623714E-002, 2.00000000000000E+000
 5.09842357136609E+000, 9.91228079413674E-001, 5.13464067115044E-001, 9.91228079413674E-001, 5.13464067115044E-001, 4.88106748114656E-002, 2.00000000000000E+000
 5.16315756863800E+000, 9.91505773891037E-001, 5.58527419613588E-001, 9.91505773891037E-001, 5.58527419613588E-001, 5.88137006892215E-002, 2.00000000000000E+000
 5.22026055276836E+000, 9.91842479527302E-001, 5.98069356303036E-001, 9.91842479527302E-001, 5.98069356303036E-001, 5.11292648188246E-002, 2.00000000000000E+000
 5.27736353689873E+000, 9.92081311382414E-001, 6.35146321078799E-001, 9.92081311382414E-001, 6.35146321078799E-001, 6.57013586846538E-002, 1.00000000000000E+000
 5.33446652102910E+000, 9.92514863719244E-001, 6.69864201852377E-001, 9.92514863719244E-001, 6.69864201852377E-001, 5.02161367156539E-002, 2.00000000000000E+000
 5.39156950515946E+000, 9.92864594046772E-001, 7.01162025464589E-001, 9.92864594046772E-001, 7.01162025464589E-001, 5.72174223901267E-002, 1.00000000000000E+000
