s,m3/s,m3/s,m3/s,m3/s,m/s,
Time,flow_in,flow_out,in_net,out_net,error,iter
 1.54933661896814E+000, 8.97882308062259E-001, 5.06330452379390E-001, 8.97882308062259E-001, 5.06330452379390E-001, 8.77205094895395E-002, 1.00000000000000E+000
 1.63748924883444E+000, 9.13675968474683E-001, 5.91617599943078E-001, 9.13675968474683E-001, 5.91617599943078E-001, 8.27987296556134E-002, 1.00000000000000E+000
 1.72564187870074E+000, 9.27120759203370E-001, 6.77292687140290E-001, 9.27120759203370E-001, 6.77292687140290E-001, 7.52960473399248E-002, 1.00000000000000E+000
 1.80382810238595E+000, 9.38538803956856E-001, 7.53459010751813E-001, 9.38538803956856E-001, 7.53459010751813E-001, 6.11891456888261E-002, 1.00000000000000E+000
 1.88201432607116E+000, 9.47201011315285E-001, 8.29212512009133E-001, 9.47201011315285E-001, 8.29212512009133E-001, 5.07603108650917E-002, 1.00000000000000E+000
 1.96020054975636E+000, 9.54670932864954E-001, 9.03977444988731E-001, 9.54670932864954E-001, 9.03977444988731E-001, 5.23700095490031E-002, 1.00000000000000E+000
 2.03838677344157E+000, 9.61105131131635E-001, 9.77129439498455E-001, 9.61105131131635E-001, 9.77129439498455E-001, 6.21481854872012E-002, 1.00000000000000E+000
 2.11657299712678E+000, 9.66641618572855E-001, 1.04754600345327E+000, 9.66641618572855E-001, 1.04754600345327E+000, 6.89887594029355E-002, 1.00000000000000E+000
 2.19475922081199E+000, 9.71401507696873E-001, 1.11529915109967E+000, 9.71401507696873E-001, 1.11529915109967E+000, 8.64408278350388E-002, 1.00000000000000E+000
 2.27294544449719E+000, 9.75490675229713E-001, 1.17938859822957E+000, 9.75490675229713E-001, 1.17938859822957E+000, 9.85333900862252E-002, 1.00000000000000E+000
 2.34075538348554E+000, 9.79001379321565E-001, 1.23041197155163E+000, 9.79001379321565E-001, 1.23041197155163E+000, 8.47579575926573E-002, 2.00000000000000E+000
 2.40856532247388E+000, 9.81640092566688E-001, 1.27883983595336E+000, 9.81640092566688E-001, 1.27883983595336E+000, 8.94146492385383E-002, 1.00000000000000E+000
 2.47637526146223E+000, 9.83949910978115E-001, 1.32333368899066E+000, 9.83949910978115E-001, 1.32333368899066E+000, 9.12715850014036E-002, 2.00000000000000E+000
 2.53606763902425E+000, 9.85971193583470E-001, 1.35964385448507E+000, 9.85971193583470E-001, 1.35964385448507E+000, 9.92451903294486E-002, 1.00000000000000E+000
