s,C,g/g,1/s
Time,Temp,Mass,MLR
2532,445.01411,0.2113268,8.15E-05
2538,446.01411,0.2108284,8.31E-05
2544,447.01411,0.2103441,8.07E-05
2550,448.01411,0.2099137,7.17E-05
2556,449.01411,0.2094631,7.51E-05
2562,450.01411,0.209,7.72E-05
2568,451.01411,0.2085707,7.15E-05
2574,452.01411,0.2081182,7.54E-05
2580,453.01411,0.2077262,6.53E-05
2586,454.01411,0.2073593,6.12E-05
2592,455.01411,0.2069351,7.07E-05
2598,456.01411,0.2064781,7.62E-05
2604,457.01411,0.2060885,6.49E-05
2610,458.01411,0.205696,6.54E-05
2616,459.01411,0.2053185,6.29E-05
2622,460.01411,0.2049681,5.84E-05
2628,461.01411,0.2046,6.13E-05
2634,462.01411,0.2041854,6.91E-05
2640,463.01411,0.2038455,5.66E-05
2646,464.01411,0.2034843,6.02E-05
2652,465.01411,0.2031451,5.65E-05
2658,466.01411,0.2027604,6.41E-05
2664,467.01411,0.2024376,5.38E-05
2670,468.01411,0.2021167,5.35E-05
2676,469.01411,0.2017948,5.36E-05
2682,470.01411,0.201482,5.21E-05
2688,471.01411,0.2011382,5.73E-05
2694,472.01411,0.2008703,4.47E-05
2700,473.01411,0.2005563,5.23E-05
2706,474.01411,0.2002582,4.97E-05
2712,475.01411,0.199953,5.09E-05
2718,476.01411,0.1996398,5.22E-05
2724,477.01411,0.1993051,5.58E-05
2730,478.01411,0.1990071,4.97E-05
2736,479.01411,0.1987054,5.03E-05
2742,480.01411,0.1984522,4.22E-05
2748,481.01411,0.1982088,4.06E-05
2754,482.01411,0.1979082,5.01E-05
2760,483.01411,0.1976326,4.59E-05
2766,484.01411,0.1973456,4.78E-05
2772,485.01411,0.1970434,5.04E-05
2778,486.01411,0.1967749,4.48E-05
2784,487.01411,0.1965229,4.20E-05
2790,488.01411,0.1962516,4.52E-05
2796,489.01411,0.1960011,4.17E-05
2802,490.01411,0.1957266,4.58E-05
2808,491.01411,0.195467,4.33E-05
2814,492.01411,0.195239,3.80E-05
2820,493.01411,0.1949622,4.61E-05
2826,494.01411,0.1946882,4.57E-05
2832,495.01411,0.1944639,3.74E-05
2838,496.01411,0.1942115,4.21E-05
2844,497.01411,0.1939536,4.30E-05
2850,498.01411,0.193653,5.01E-05
2856,499.01411,0.1934547,3.31E-05
2862,500.01411,0.1932037,4.18E-05
2868,501.01411,0.1929741,3.83E-05
2874,502.01411,0.1927361,3.97E-05
2880,503.01411,0.1925157,3.67E-05
2886,504.01411,0.1922826,3.89E-05
2892,505.01411,0.1920627,3.66E-05
2898,506.01411,0.1917889,4.56E-05
2904,507.01411,0.1915858,3.38E-05
2910,508.01411,0.1912874,4.97E-05
2916,509.01411,0.1911055,3.03E-05
2922,510.01411,0.1908747,3.85E-05
2928,511.01411,0.1906735,3.35E-05
2934,512.01411,0.1904735,3.33E-05
2940,513.01411,0.1901997,4.56E-05
2946,514.01411,0.1899435,4.27E-05
2952,515.01411,0.1897874,2.60E-05
2958,516.01411,0.1895573,3.84E-05
2964,517.01411,0.1893388,3.64E-05
2970,518.01411,0.1890927,4.10E-05
2976,519.01411,0.1888612,3.86E-05
2982,520.01411,0.1886425,3.64E-05
2988,521.01411,0.188399,4.06E-05
2994,522.01411,0.188219,3.00E-05
3000,523.01411,0.1879355,4.72E-05
3006,524.01411,0.1877581,2.96E-05
3012,525.01411,0.1876244,2.23E-05
3018,526.01411,0.1874365,3.13E-05
3024,527.01411,0.1872067,3.83E-05
3030,528.01411,0.1869637,4.05E-05
3036,529.01411,0.1867998,2.73E-05
3042,530.01411,0.1865776,3.70E-05
3048,531.01411,0.1863098,4.46E-05
3054,532.01411,0.1861893,2.01E-05
3060,533.01411,0.1860379,2.52E-05
3066,534.01411,0.1857538,4.74E-05
3072,535.01411,0.1855751,2.98E-05
3078,536.01411,0.1854108,2.74E-05
3084,537.01411,0.185141,4.50E-05
3090,538.01411,0.185073,1.13E-05
3096,539.01411,0.1848547,3.64E-05
3102,540.01411,0.1846435,3.52E-05
3108,541.01411,0.1844146,3.82E-05
3114,542.01411,0.1842172,3.29E-05
3120,543.01411,0.184009,3.47E-05
3126,544.01411,0.1838261,3.05E-05
3132,545.01411,0.1837117,1.91E-05
3138,546.01411,0.1835085,3.39E-05
3144,547.01411,0.1832732,3.92E-05
3150,548.01411,0.183101,2.87E-05
3156,549.01411,0.1829213,2.99E-05
3162,550.01411,0.1827733,2.47E-05
3168,551.01411,0.1826247,2.48E-05
3174,552.01411,0.1824306,3.24E-05
3180,553.01411,0.1821883,4.04E-05
3186,554.01411,0.1820766,1.86E-05
3192,555.01411,0.1818739,3.38E-05
3198,556.01411,0.1816698,3.40E-05
3204,557.01411,0.1815191,2.51E-05
3210,558.01411,0.1814106,1.81E-05
3216,559.01411,0.1812051,3.42E-05
3222,560.01411,0.1810717,2.22E-05
3228,561.01411,0.1808391,3.88E-05
3234,562.01411,0.1806255,3.56E-05
3240,563.01411,0.1804606,2.75E-05
3246,564.01411,0.1803967,1.06E-05
3252,565.01411,0.1801749,3.70E-05
3258,566.01411,0.1799687,3.44E-05
