Time1,OH1,TMP1
0.0007759349134702987,6.257752763384655e-10,1199.997531664891
0.0008015415415045455,6.567327631352951e-10,1199.9976091417989
0.0008271481695387924,6.882252434922322e-10,1199.9977020341917
0.0008527547975730392,7.202380863317522e-10,1199.9978108832975
0.0008783614256072861,7.52755747849605e-10,1199.9979362321483
0.000903968053641533,7.857617575247397e-10,1199.998078624817
0.0009295746816757798,8.192387127985713e-10,1199.9982386056317
0.0009551813097100267,8.531682823014242e-10,1199.9984167183638
0.0009807879377442736,8.875312174318701e-10,1199.9986135053944
0.0010063945657785205,9.223073719553322e-10,1199.9988295068576
0.0010320011938127673,9.574757292549488e-10,1199.9990652597648
0.0010576078218470142,9.930144369029483e-10,1199.9993212971112
0.001083214449881261,1.028900848231e-09,1199.9995981469667
0.0011088210779155079,1.0651115705330317e-09,1199.9998963315531
0.0011344277059497547,1.1016225194744272e-09,1200.000216366314
0.0011600343339840016,1.138408979243419e-09,1200.000558758975
0.0011856409620182484,1.175445667956866e-09,1200.000924008606
0.0012112475900524953,1.2127068078040397e-09,1200.0013126046788
0.0012368542180867421,1.2501661993745264e-09,1200.0017250261344
0.001262460846120989,1.287797299580775e-09,1200.0021617404564
0.0012880674741552359,1.3255733025585218e-09,1200.0026232027592
0.0013136741021894827,1.363467222908155e-09,1200.0031098548932
0.0013392807302237296,1.4014519806242944e-09,1200.0036221245716
0.0013648873582579764,1.4395004870486311e-09,1200.0041604245237
0.0013904939862922233,1.4775857311757947e-09,1200.0047251516785
0.0014161006143264701,1.5156808656441013e-09,1200.0053166863831
0.001441707242360717,1.5537592917530573e-09,1200.0059353916597
0.0014673138703949638,1.591794742866051e-09,1200.0065816125048
0.0014929204984292107,1.6297613655804094e-09,1200.0072556752345
0.0015185271264634575,1.667633798076773e-09,1200.0079578868817
0.0015441337544977044,1.7053872450969827e-09,1200.0086885346423
0.0015697403825319512,1.7429975487901174e-09,1200.0094478853805
0.001595347010566198,1.7804412564538514e-09,1200.0102361851918
0.001620953638600445,1.8176956811962128e-09,1200.0110536590246
0.0016465602666346918,1.8547389594832481e-09,1200.0119005103666
0.0016721668946689386,1.8915501028208792e-09,1200.0127769209935
0.0016977735227031855,1.9281090434163557e-09,1200.0136830507827
0.0017233801507374324,1.9643966743192193e-09,1200.0146190375917
0.0017489867787716792,2.000394883668962e-09,1200.0155849972039
0.001774593406805926,2.036086582911744e-09,1200.0165810233368
0.001800200034840173,2.0714557291103338e-09,1200.0176071877174
0.0018258066628744198,2.106487341395481e-09,1200.0186635402194
0.0018514132909086666,2.141167511649763e-09,1200.0197501090636
0.0018770199189429135,2.1754834096107413e-09,1200.0208669010772
0.0019026265469771603,2.2094232826078115e-09,1200.0220139020128
0.0019282331750114072,2.2429764501804256e-09,1200.0231910769214
0.001953839803045654,2.2761332938673205e-09,1200.0243983705807
0.001979446431079901,2.308885242483105e-09,1200.0256357079707
0.002005053059114148,2.341224753220011e-09,1200.026902994797
0.0020306596871483952,2.3731452889329715e-09,1200.0282001180585
0.0020562663151826423,2.4046412919778726e-09,1200.0295269466535
0.0020818729432168894,2.4357081549797546e-09,1200.0308833320212
0.0021074795712511364,2.4663421889104865e-09,1200.0322691088174
0.0021330861992853835,2.4965405888532945e-09,1200.0336840956172
0.0021586928273196306,2.526301397825194e-09,1200.0351280956415
0.0021842994553538777,2.555623469018435e-09,1200.0366008975063
0.0022099060833881247,2.5845064268087436e-09,1200.0381022759864
0.002235512711422372,2.6129506268620588e-09,1200.039631992794
0.002261119339456619,2.640957115652936e-09,1200.0411897973659
0.002286725967490866,2.6685275896876648e-09,1200.0427754276557
0.002325138807171977,2.7090739940716963e-09,1200.0452056326144
0.0023635516468530878,2.748654681261922e-09,1200.0476968772211
0.0024019644865341987,2.7872823612914408e-09,1200.0502481557605
0.0024403773262153096,2.8249720465315463e-09,1200.0528584243013
0.0024787901658964205,2.861740731540829e-09,1200.0555266064557
0.0025172030055775315,2.897607138364047e-09,1200.0582515989583
0.0025556158452586424,2.932591464378841e-09,1200.0610322770353
0.0025940286849397533,2.966715141113408e-09,1200.0638674995364
0.0026324415246208642,3.000000610541037e-09,1200.0667561138093
0.002670854364301975,3.032471119938693e-09,1200.0696969602946
0.002709267203983086,3.0641505342316857e-09,1200.07268887683
0.002747680043664197,3.095063165931015e-09,1200.0757307026522
0.002786092883345308,3.1252336212825534e-09,1200.0788212820964
0.002824505723026419,3.1546866618943755e-09,1200.0819594679876
0.0028629185627075298,3.183447081626195e-09,1200.0851441247319
0.0029013314023886407,3.211539598020266e-09,1200.088374131107
0.0029397442420697516,3.2389887571354872e-09,1200.0916483827643
0.0029781570817508625,3.265818850684849e-09,1200.0949657944489
0.0030165699214319735,3.2920538445159667e-09,1200.0983253019492
0.0030549827611130844,3.3177173175390893e-09,1200.1017258637912
0.0030933956007941953,3.342832410195218e-09,1200.1051664626893
0.0031318084404753062,3.3674217815369926e-09,1200.1086461067664
0.003170221280156417,3.391507574032232e-09,1200.1121638305613
0.003208634119837528,3.4151113852776337e-09,1200.1157186958362
0.003247046959518639,3.438254245881307e-09,1200.1193097921996
0.00328545979919975,3.4609566028232863e-09,1200.1229362375593
0.003323872638880861,3.483238307647662e-09,1200.1265971784214
0.0033622854785619717,3.505118608892915e-09,1200.1302917900473
0.0034006983182430827,3.5266161482241966e-09,1200.1340192764826
0.0034391111579241936,3.547748959786098e-09,1200.137778870474
0.0034775239976053045,3.5685344723419937e-09,1200.141569833281
0.0035159368372864154,3.588989513808279e-09,1200.145391454399
0.0035543496769675264,3.6091303178330652e-09,1200.1492430512014
0.0035927625166486373,3.6289725321072286e-09,1200.1531239685137
0.003631175356329748,3.64853122813142e-09,1200.157033578126
0.003669588196010859,3.667820912194493e-09,1200.1609712782565
0.00370800103569197,3.6868555373469756e-09,1200.1649364929692
0.0037664259969912624,3.7153477565952753e-09,1200.171019002817
0.003824850958290555,3.743325700385158e-09,1200.1771620666882
0.0038832759195898472,3.770831532402781e-09,1200.1833639812485
0.00394170088088914,3.797904827567664e-09,1200.1896231635756
0.004000125842188432,3.824582693497633e-09,1200.1959381453623
0.0040585508034877244,3.850899889479516e-09,1200.2023075671584
0.004116975764787017,3.876888944217988e-09,1200.2087301726654
0.004175400726086309,3.9025802727247935e-09,1200.2152048030832
0.004233825687385602,3.9280022915735165e-09,1200.2217303915597
0.004292250648684894,3.9531815309604164e-09,1200.228305957797
0.0043506756099841865,3.978142742692705e-09,1200.234930602853
0.004439495432268544,4.015723454923797e-09,1200.2450938287009
0.004528315254552901,4.052927435078319e-09,1200.2553660203805
0.004617135076837258,4.089821263563968e-09,1200.2657449448748
