s,m/s,,s
Time,error,iter,cputime
 3.2476645E+000, 1.2285800E-003, 1.1183333E+003, 1.2755320E+003
 3.2700930E+000, 1.2601039E-003, 2.0000000E+003, 1.2878321E+003
 3.3037358E+000, 1.0742608E-003, 8.3433333E+002, 1.2996647E+003
 3.3373786E+000, 1.0074774E-003, 8.5766667E+002, 1.3058706E+003
 3.3710213E+000, 9.9645439E-004, 2.0800000E+002, 1.3103228E+003
 3.3934499E+000, 1.4467450E-003, 1.0695000E+003, 1.3180342E+003
 3.4270926E+000, 1.4410708E-003, 1.7433333E+003, 1.3337734E+003
 3.4607354E+000, 9.9988984E-004, 5.7633333E+002, 1.3448606E+003
 3.4831639E+000, 1.0017681E-003, 1.1155000E+003, 1.3506303E+003
 3.5168067E+000, 9.9224050E-004, 1.0866667E+002, 1.3555793E+003
 3.5504494E+000, 9.9836150E-004, 4.5366667E+002, 1.3593771E+003
 3.5728780E+000, 9.9819603E-004, 8.8950000E+002, 1.3688265E+003
 3.6065207E+000, 1.2158928E-003, 8.2066667E+002, 1.3795965E+003
 3.6401635E+000, 9.9836056E-004, 1.6366667E+002, 1.3832012E+003
 3.6625920E+000, 9.9233238E-004, 6.8500000E+001, 1.3843434E+003
 3.6962348E+000, 9.9986047E-004, 1.2476667E+003, 1.3897603E+003
 3.7298776E+000, 1.2983878E-003, 1.3716667E+003, 1.4002466E+003
 3.7523061E+000, 9.9984997E-004, 4.0000000E+002, 1.4088973E+003
 3.7859488E+000, 9.9923043E-004, 2.2733333E+002, 1.4123743E+003
 3.8195916E+000, 9.9837090E-004, 3.7566667E+002, 1.4167565E+003
 3.8420201E+000, 1.1470185E-003, 1.0415000E+003, 1.4231301E+003
 3.8756629E+000, 1.3462223E-003, 1.2643333E+003, 1.4325402E+003
 3.9093057E+000, 1.0888100E-003, 1.3606667E+003, 1.4457228E+003
 3.9317342E+000, 9.9372382E-004, 8.0900000E+002, 1.4529074E+003
 3.9653770E+000, 9.9650650E-004, 1.1333333E+002, 1.4543819E+003
 3.9990197E+000, 1.0147829E-003, 8.1033333E+002, 1.4593852E+003
 4.0214482E+000, 9.5006921E-004, 1.5400000E+002, 1.4674915E+003
 4.0550910E+000, 1.8518027E-003, 1.8360000E+003, 1.4777588E+003
 4.0887338E+000, 1.3883934E-003, 1.3856667E+003, 1.4960974E+003
 4.1111623E+000, 1.3310049E-003, 1.0745000E+003, 1.5049865E+003
 4.1448051E+000, 9.9681250E-004, 1.1226667E+003, 1.5172189E+003
 4.1784478E+000, 1.3247246E-003, 1.0516667E+003, 1.5277033E+003
