s,m/s,,s
Time,error,iter,cputime
 7.4747239E+000, 2.6201263E-014, 6.5000000E+000, 7.9963410E+002
 7.5100068E+000, 2.5165055E-014, 6.0000000E+000, 8.0322628E+002
 7.5335288E+000, 6.7945649E-014, 7.5000000E+000, 8.0693290E+002
 7.5688118E+000, 4.7369516E-014, 5.3333333E+000, 8.1034192E+002
 7.5923338E+000, 5.1070259E-014, 6.0000000E+000, 8.1400605E+002
 7.6276167E+000, 2.7829590E-014, 5.0000000E+000, 8.1724648E+002
 7.6511387E+000, 2.6645353E-014, 5.5000000E+000, 8.2076987E+002
 7.6864217E+000, 3.2270483E-014, 6.0000000E+000, 8.2440304E+002
 7.7217046E+000, 3.4342899E-014, 5.3333333E+000, 8.2853020E+002
 7.7452266E+000, 4.3076653E-014, 6.5000000E+000, 8.3209290E+002
 7.7780502E+000, 3.0064970E-014, 5.6416911E+000, 8.3576546E+002
 7.8096442E+000, 3.0198066E-014, 6.3333333E+000, 8.4060795E+002
 7.8307068E+000, 3.3750780E-014, 6.5000000E+000, 8.4431406E+002
 7.8623007E+000, 2.7829590E-014, 6.6666667E+000, 8.4814720E+002
 7.8938946E+000, 4.3520743E-014, 7.0000000E+000, 8.5268173E+002
 7.9275948E+000, 3.5832448E-014, 7.3750000E+000, 8.5761456E+002
 7.9507637E+000, 6.2616579E-014, 6.5000000E+000, 8.6155170E+002
 7.9855170E+000, 4.6777397E-014, 5.6666667E+000, 8.6497807E+002
 8.0202703E+000, 3.5527137E-014, 6.6666667E+000, 8.6948544E+002
 8.0434392E+000, 5.5511151E-014, 7.5000000E+000, 8.7367447E+002
 8.0781925E+000, 7.6975463E-014, 8.3333333E+000, 8.7782585E+002
 8.1013614E+000, 6.3504757E-014, 6.5000000E+000, 8.8181214E+002
 8.1361147E+000, 4.9145873E-014, 6.0000000E+000, 8.8513569E+002
 8.1708681E+000, 3.7895613E-014, 6.0000000E+000, 8.8946493E+002
 8.1940369E+000, 3.3306691E-014, 6.5000000E+000, 8.9303556E+002
 8.2287903E+000, 3.6415315E-014, 5.3333333E+000, 8.9658922E+002
 8.2519591E+000, 4.4408921E-014, 5.5000000E+000, 9.0007138E+002
 8.2867124E+000, 5.0034051E-014, 7.0000000E+000, 9.0414862E+002
 8.3214658E+000, 4.2040445E-014, 6.0000000E+000, 9.0873540E+002
 8.3446346E+000, 7.1498363E-014, 6.0000000E+000, 9.1239444E+002
 8.3793880E+000, 4.4112862E-014, 6.3333333E+000, 9.1603199E+002
 8.4025568E+000, 3.6859404E-014, 5.5000000E+000, 9.1968814E+002
 8.4373102E+000, 3.9079850E-014, 6.6666667E+000, 9.2357524E+002
 8.4604790E+000, 4.1744386E-014, 6.5000000E+000, 9.2746024E+002
 8.4952324E+000, 4.2928624E-014, 6.6666667E+000, 9.3140318E+002
 8.5299857E+000, 6.2764608E-014, 6.0000000E+000, 9.3602531E+002
 8.5518288E+000, 2.8637343E-014, 6.5303478E+000, 9.4024223E+002
 8.5826048E+000, 2.8717769E-014, 6.3333333E+000, 9.4450118E+002
 8.6133807E+000, 3.0198066E-014, 6.3333333E+000, 9.4894890E+002
 8.6441567E+000, 3.4342899E-014, 6.6666667E+000, 9.5373139E+002
 8.6749327E+000, 3.4935018E-014, 6.0000000E+000, 9.5818820E+002
 8.7057087E+000, 2.4868996E-014, 6.0000000E+000, 9.6274984E+002
 8.7364847E+000, 3.6119256E-014, 6.0000000E+000, 9.6735559E+002
 8.7703382E+000, 3.9671969E-014, 6.0000000E+000, 9.7193055E+002
 8.7929073E+000, 2.9753977E-014, 5.0000000E+000, 9.7564737E+002
 8.8267609E+000, 5.2994646E-014, 6.3333333E+000, 9.7948100E+002
 8.8606145E+000, 3.8191672E-014, 5.6666667E+000, 9.8408348E+002
 8.8831835E+000, 3.1086245E-014, 6.5000000E+000, 9.8786344E+002
 8.9170371E+000, 4.0856207E-014, 5.0000000E+000, 9.9122821E+002
 8.9508907E+000, 4.2040445E-014, 6.6666667E+000, 9.9537850E+002
 8.9734597E+000, 5.9063865E-014, 7.5000000E+000, 9.9924851E+002
 9.0073133E+000, 3.7895613E-014, 7.0000000E+000, 1.0032351E+003
 9.0411669E+000, 6.8685798E-014, 8.0000000E+000, 1.0083004E+003
 9.0637359E+000, 8.1268325E-014, 5.0000000E+000, 1.0119812E+003
 9.0975895E+000, 5.0034051E-014, 6.0000000E+000, 1.0155349E+003
 9.1201586E+000, 6.1728400E-014, 7.0000000E+000, 1.0193103E+003
 9.1540121E+000, 3.9079850E-014, 7.0000000E+000, 1.0232589E+003
 9.1878657E+000, 4.2336505E-014, 6.0000000E+000, 1.0276788E+003
 9.2104348E+000, 3.3750780E-014, 6.5000000E+000, 1.0311601E+003
 9.2442883E+000, 4.3520743E-014, 6.3333333E+000, 1.0348892E+003
 9.2781419E+000, 5.0626170E-014, 6.3333333E+000, 1.0395023E+003
 9.3007110E+000, 5.9952043E-014, 7.5000000E+000, 1.0435277E+003
