s,m/s,,s
Time,error,iter,cputime
 7.9268517E+000, 8.6964645E-004, 3.1666667E+001, 2.2716952E+002
 7.9595683E+000, 9.0100662E-004, 3.9333333E+001, 2.2833599E+002
 7.9813793E+000, 9.1645400E-004, 3.4000000E+001, 2.2928030E+002
 8.0140960E+000, 8.7290091E-004, 2.9666667E+001, 2.3014699E+002
 8.0468126E+000, 9.0581367E-004, 3.8333333E+001, 2.3127319E+002
 8.0795292E+000, 9.1399301E-004, 4.4333333E+001, 2.3248651E+002
 8.1013402E+000, 9.0697629E-004, 3.6500000E+001, 2.3348832E+002
 8.1340568E+000, 9.2460758E-004, 4.1333333E+001, 2.3447501E+002
 8.1667734E+000, 9.0750016E-004, 3.5333333E+001, 2.3564749E+002
 8.1994901E+000, 9.3539583E-004, 3.7333333E+001, 2.3679860E+002
 8.2213011E+000, 9.3274293E-004, 3.8500000E+001, 2.3774549E+002
 8.2540177E+000, 9.0553305E-004, 3.6333333E+001, 2.3868516E+002
 8.2867343E+000, 8.8708241E-004, 3.1333333E+001, 2.3976416E+002
 8.3194509E+000, 9.0699181E-004, 3.9666667E+001, 2.4090996E+002
 8.3412620E+000, 9.4054406E-004, 4.3500000E+001, 2.4188958E+002
 8.3739786E+000, 9.1849893E-004, 3.6666667E+001, 2.4283556E+002
 8.4066952E+000, 9.7399213E-004, 3.5666667E+001, 2.4400147E+002
 8.4394118E+000, 8.7138216E-004, 3.5666667E+001, 2.4512819E+002
 8.4612229E+000, 9.1365187E-004, 3.7500000E+001, 2.4609397E+002
 8.4939395E+000, 9.1224138E-004, 3.4000000E+001, 2.4700346E+002
 8.5266561E+000, 9.3959152E-004, 3.3666667E+001, 2.4809562E+002
 8.5593727E+000, 9.0452006E-004, 3.4666667E+001, 2.4921953E+002
 8.5811838E+000, 9.2588028E-004, 3.3000000E+001, 2.5014597E+002
 8.6139004E+000, 9.4119263E-004, 2.9333333E+001, 2.5102740E+002
 8.6466170E+000, 8.7860200E-004, 3.6000000E+001, 2.5215103E+002
 8.6793336E+000, 9.0198340E-004, 3.4333333E+001, 2.5326589E+002
 8.7011447E+000, 9.0830810E-004, 3.1000000E+001, 2.5411092E+002
 8.7338613E+000, 9.3977818E-004, 3.2000000E+001, 2.5501568E+002
 8.7665779E+000, 8.7952799E-004, 2.6666667E+001, 2.5606335E+002
 8.7992945E+000, 8.8205256E-004, 3.4333333E+001, 2.5713087E+002
 8.8211055E+000, 9.3824324E-004, 3.4500000E+001, 2.5807381E+002
 8.8538222E+000, 9.3864100E-004, 3.2666667E+001, 2.5898420E+002
 8.8865388E+000, 9.0249029E-004, 3.1666667E+001, 2.6007053E+002
 8.9192554E+000, 9.4926462E-004, 3.6000000E+001, 2.6112099E+002
 8.9410664E+000, 9.1753345E-004, 3.5000000E+001, 2.6205447E+002
 8.9737830E+000, 8.9640095E-004, 3.7333333E+001, 2.6300728E+002
 9.0097713E+000, 8.6742970E-004, 3.5000000E+001, 2.6410392E+002
 9.0337635E+000, 9.1325378E-004, 3.3500000E+001, 2.6502735E+002
 9.0697517E+000, 9.3685195E-004, 2.9333333E+001, 2.6592153E+002
 9.0937439E+000, 8.8782938E-004, 2.2000000E+001, 2.6678728E+002
 9.1297322E+000, 9.2753825E-004, 3.2000000E+001, 2.6768895E+002
 9.1537244E+000, 9.0969836E-004, 3.4000000E+001, 2.6865960E+002
 9.1897126E+000, 9.1370074E-004, 4.1666667E+001, 2.6961129E+002
 9.2137048E+000, 9.3452054E-004, 4.0000000E+001, 2.7060348E+002
 9.2496931E+000, 9.1847621E-004, 3.9333333E+001, 2.7159357E+002
 9.2736853E+000, 9.1809706E-004, 3.5500000E+001, 2.7253629E+002
 9.3096735E+000, 8.9829051E-004, 3.3000000E+001, 2.7344059E+002
 9.3336657E+000, 9.7675133E-004, 3.5500000E+001, 2.7436256E+002
 9.3696540E+000, 9.3080143E-004, 3.4333333E+001, 2.7529511E+002
 9.3936461E+000, 8.9708254E-004, 3.3000000E+001, 2.7619740E+002
 9.4296344E+000, 9.3003697E-004, 3.5666667E+001, 2.7716643E+002
 9.4536266E+000, 9.2370267E-004, 3.4000000E+001, 2.7809284E+002
 9.4896148E+000, 9.4155709E-004, 3.7666667E+001, 2.7901803E+002
 9.5136070E+000, 9.8425937E-004, 3.0500000E+001, 2.7995296E+002
 9.5495953E+000, 9.2407218E-004, 4.0666667E+001, 2.8092858E+002
 9.5723370E+000, 9.1205604E-004, 3.5747436E+001, 2.8192338E+002
 9.6045738E+000, 9.1402886E-004, 3.7666667E+001, 2.8297627E+002
 9.6368107E+000, 8.9857668E-004, 3.3333333E+001, 2.8407973E+002
 9.6690475E+000, 9.0112570E-004, 3.1000000E+001, 2.8513811E+002
 9.6905388E+000, 8.6274071E-004, 3.8000000E+001, 2.8609840E+002
