s,kg/s,,kg/s,,kg
Time,MF IN TRACER,MASS IN TRACER,MF OUT TRACER,MASS OUT TRACER,MASS VOL TRACER
 1.6336316E-001, 1.2551228E+002, 2.0504076E+001,-4.1917988E+001,-2.2388875E+000, 1.8041260E+001
 1.6577847E-001, 1.2551228E+002, 2.0807228E+001,-4.3830973E+001,-2.3447531E+000, 1.8240907E+001
 1.6819379E-001, 1.2551228E+002, 2.1110380E+001,-4.5782768E+001,-2.4553329E+000, 1.8435877E+001
 1.7060911E-001, 1.2551228E+002, 2.1413532E+001,-4.7759459E+001,-2.5706871E+000, 1.8626094E+001
 1.7302442E-001, 1.2551228E+002, 2.1716683E+001,-4.9747180E+001,-2.6908422E+000, 1.8811515E+001
 1.7543974E-001, 1.2551228E+002, 2.2019835E+001,-5.1733346E+001,-2.8157946E+000, 1.8992127E+001
 1.7785505E-001, 1.2551228E+002, 2.2322987E+001,-5.3706579E+001,-2.9455129E+000, 1.9167951E+001
 1.8027037E-001, 1.2551228E+002, 2.2626139E+001,-5.5657628E+001,-3.0799437E+000, 1.9339029E+001
 1.8268568E-001, 1.2551228E+002, 2.2929291E+001,-5.7580383E+001,-3.2190185E+000, 1.9505425E+001
 1.8510100E-001, 1.2551228E+002, 2.3232442E+001,-5.9470912E+001,-3.3626595E+000, 1.9667213E+001
 1.8751631E-001, 1.2551228E+002, 2.3535594E+001,-6.1326210E+001,-3.5107816E+000, 1.9824475E+001
 1.8993163E-001, 1.2551228E+002, 2.3838746E+001,-6.3143885E+001,-3.6632940E+000, 1.9977299E+001
 1.9234694E-001, 1.2551228E+002, 2.4141898E+001,-6.4920988E+001,-3.8200987E+000, 2.0125781E+001
 1.9476226E-001, 1.2551228E+002, 2.4445049E+001,-6.6653081E+001,-3.9810869E+000, 2.0270019E+001
 1.9717758E-001, 1.2551228E+002, 2.4748201E+001,-6.8339011E+001,-4.1461472E+000, 2.0410130E+001
 1.9959289E-001, 1.2551228E+002, 2.5051353E+001,-6.9977054E+001,-4.3151639E+000, 2.0546226E+001
 2.0200821E-001, 1.2551228E+002, 2.5354505E+001,-7.1564162E+001,-4.4880139E+000, 2.0678425E+001
 2.0442352E-001, 1.2551228E+002, 2.5657656E+001,-7.3094757E+001,-4.6645608E+000, 2.0806856E+001
 2.0683884E-001, 1.2551228E+002, 2.5960808E+001,-7.4563109E+001,-4.8446542E+000, 2.0931660E+001
 2.0925415E-001, 1.2551228E+002, 2.6263960E+001,-7.5965982E+001,-5.0281360E+000, 2.1052997E+001
 2.1166947E-001, 1.2551228E+002, 2.6567112E+001,-7.7302651E+001,-5.2148463E+000, 2.1171024E+001
 2.1408478E-001, 1.2551228E+002, 2.6870263E+001,-7.8572186E+001,-5.4046229E+000, 2.1285903E+001
 2.1650010E-001, 1.2551228E+002, 2.7173415E+001,-7.9774148E+001,-5.5973027E+000, 2.1397797E+001
 2.1891542E-001, 1.2551228E+002, 2.7476567E+001,-8.0908688E+001,-5.7927227E+000, 2.1506868E+001
 2.2133073E-001, 1.2551228E+002, 2.7779719E+001,-8.1975333E+001,-5.9907190E+000, 2.1613280E+001
 2.2374605E-001, 1.2551228E+002, 2.8082870E+001,-8.2973808E+001,-6.1911269E+000, 2.1717197E+001
 2.2616136E-001, 1.2551228E+002, 2.8386022E+001,-8.3905534E+001,-6.3937852E+000, 2.1818783E+001
 2.2857668E-001, 1.2551228E+002, 2.8689174E+001,-8.4774879E+001,-6.5985433E+000, 2.1918196E+001
 2.3099199E-001, 1.2551228E+002, 2.8992326E+001,-8.5587991E+001,-6.8052653E+000, 2.2015580E+001
