s,m3/s,m3/s
Time,VDOT_IN,VDOT_OUT
 1.24359990258533E+000,-5.41746678768246E+000, 5.41746678768244E+000
 1.24832087402178E+000,-5.42599754808613E+000, 5.42599754808607E+000
 1.25304184545823E+000,-5.43446029254650E+000, 5.43446029254645E+000
 1.25776281689468E+000,-5.44285545854000E+000, 5.44285545853995E+000
 1.26248378833113E+000,-5.45118348256067E+000, 5.45118348256067E+000
 1.26720475976758E+000,-5.45944480008643E+000, 5.45944480008642E+000
 1.27192573120403E+000,-5.46763984554612E+000, 5.46763984554611E+000
 1.27664670264048E+000,-5.47576905228751E+000, 5.47576905228748E+000
 1.28136767407693E+000,-5.48383285254567E+000, 5.48383285254561E+000
 1.28608864551338E+000,-5.49183167741225E+000, 5.49183167741225E+000
 1.29080961694983E+000,-5.49976595680580E+000, 5.49976595680579E+000
 1.29553058838628E+000,-5.50763611944219E+000, 5.50763611944215E+000
 1.30025155982273E+000,-5.51544259280641E+000, 5.51544259280637E+000
 1.30497253125918E+000,-5.52318580312438E+000, 5.52318580312435E+000
 1.30969350269563E+000,-5.53086617533627E+000, 5.53086617533618E+000
 1.31441447413208E+000,-5.53848413306963E+000, 5.53848413306964E+000
 1.31913544556853E+000,-5.54604009861396E+000, 5.54604009861389E+000
 1.32385641700498E+000,-5.55353449289554E+000, 5.55353449289554E+000
 1.32857738844143E+000,-5.56096773545282E+000, 5.56096773545277E+000
 1.33329835987788E+000,-5.56834024441307E+000, 5.56834024441304E+000
 1.33801933131433E+000,-5.57565243646876E+000, 5.57565243646867E+000
 1.34274030275078E+000,-5.58290472685552E+000, 5.58290472685548E+000
 1.34746127418723E+000,-5.59009752933004E+000, 5.59009752933004E+000
 1.35218224562369E+000,-5.59723125614913E+000, 5.59723125614901E+000
 1.35690321706014E+000,-5.60430631804859E+000, 5.60430631804853E+000
 1.36162418849659E+000,-5.61132312422381E+000, 5.61132312422358E+000
 1.36634515993304E+000,-5.61828208231002E+000, 5.61828208230989E+000
 1.37106613136949E+000,-5.62518359836351E+000, 5.62518359836356E+000
 1.37578710280594E+000,-5.63202807684364E+000, 5.63202807684357E+000
 1.38050807424239E+000,-5.63881592059467E+000, 5.63881592059475E+000
 1.38522904567884E+000,-5.64554753082939E+000, 5.64554753082929E+000
 1.38995001711529E+000,-5.65222330711189E+000, 5.65222330711187E+000
 1.39467098855174E+000,-5.65884364734211E+000, 5.65884364734203E+000
 1.39939195998819E+000,-5.66540894773996E+000, 5.66540894773997E+000
 1.40411293142464E+000,-5.67191960283092E+000, 5.67191960283079E+000
 1.40883390286109E+000,-5.67837600543105E+000, 5.67837600543095E+000
 1.41355487429754E+000,-5.68477854663366E+000, 5.68477854663357E+000
 1.41827584573399E+000,-5.69112761579573E+000, 5.69112761579566E+000
 1.42299681717044E+000,-5.69742360052508E+000, 5.69742360052496E+000
 1.42771778860689E+000,-5.70366688666786E+000, 5.70366688666776E+000
 1.43243876004334E+000,-5.70985785829701E+000, 5.70985785829691E+000
 1.43715973147979E+000,-5.71599689770058E+000, 5.71599689770065E+000
 1.44188070291624E+000,-5.72208438537108E+000, 5.72208438537099E+000
 1.44660167435269E+000,-5.72812069999462E+000, 5.72812069999453E+000
 1.45132264578914E+000,-5.73410621844135E+000, 5.73410621844128E+000
 1.45604361722560E+000,-5.74004131575566E+000, 5.74004131575558E+000
 1.46076458866205E+000,-5.74592636514711E+000, 5.74592636514716E+000
 1.46548556009850E+000,-5.75176173798178E+000, 5.75176173798172E+000
 1.47020653153495E+000,-5.75754780377406E+000, 5.75754780377402E+000
 1.47492750297140E+000,-5.76328493017877E+000, 5.76328493017871E+000
 1.47964847440785E+000,-5.76897348298371E+000, 5.76897348298365E+000
 1.48436944584430E+000,-5.77461382610272E+000, 5.77461382610263E+000
 1.48909041728075E+000,-5.78020632156904E+000, 5.78020632156910E+000
 1.49853236015365E+000,-5.79124920823676E+000, 5.79124920823667E+000
 1.50797430302655E+000,-5.80210500141414E+000, 5.80210500141407E+000
 1.51269527446300E+000,-5.80746362288094E+000, 5.80746362288086E+000
 1.52213721733590E+000,-5.81804406872804E+000, 5.81804406872795E+000
 1.53157916020880E+000,-5.82844443362980E+000, 5.82844443362970E+000
 1.53630013164525E+000,-5.83357794670291E+000, 5.83357794670278E+000
 1.54574207451815E+000,-5.84371333917808E+000, 5.84371333917800E+000
 1.55518401739105E+000,-5.85367547099712E+000, 5.85367547099699E+000
 1.56462596026396E+000,-5.86346701615140E+000, 5.86346701615130E+000
 1.56934693170041E+000,-5.86829964587559E+000, 5.86829964587561E+000
 1.57878887457331E+000,-5.87784025694536E+000, 5.87784025694531E+000
 1.58823081744621E+000,-5.88721683065415E+000, 5.88721683065410E+000
 1.59295178888266E+000,-5.89184440640520E+000, 5.89184440640507E+000
 1.60239373175556E+000,-5.90097972455510E+000, 5.90097972455509E+000
 1.61183567462846E+000,-5.90995736078315E+000, 5.90995736078317E+000
 1.61655664606491E+000,-5.91438782687864E+000, 5.91438782687859E+000
 1.62599858893781E+000,-5.92313359553780E+000, 5.92313359553780E+000
 1.63544053181071E+000,-5.93172784434136E+000, 5.93172784434138E+000
 1.64016150324716E+000,-5.93596890340467E+000, 5.93596890340466E+000
 1.64960344612006E+000,-5.94434038327933E+000, 5.94434038327944E+000
 1.65904538899296E+000,-5.95256631306603E+000, 5.95256631306611E+000
 1.66848733186587E+000,-5.96064902716898E+000, 5.96064902716901E+000
 1.67320830330232E+000,-5.96463739952566E+000, 5.96463739952564E+000
 1.68265024617522E+000,-5.97250960065892E+000, 5.97250960065894E+000
 1.69209218904812E+000,-5.98024428943951E+000, 5.98024428943954E+000
 1.69681316048457E+000,-5.98406076431496E+000, 5.98406076431494E+000
 1.70625510335747E+000,-5.99159335391285E+000, 5.99159335391288E+000
 1.71569704623037E+000,-5.99899394677521E+000, 5.99899394677522E+000
 1.72041801766682E+000,-6.00264541878862E+000, 6.00264541878859E+000
 1.72985996053972E+000,-6.00985204657628E+000, 6.00985204657634E+000
 1.73930190341262E+000,-6.01693200813797E+000, 6.01693200813799E+000
 1.74402287484907E+000,-6.02042514053681E+000, 6.02042514053678E+000
 1.75346481772197E+000,-6.02731899562218E+000, 6.02731899562225E+000
 1.76290676059487E+000,-6.03409133282507E+000, 6.03409133282513E+000
 1.77234870346778E+000,-6.04074416119134E+000, 6.04074416119135E+000
 1.77645900048787E+000,-6.04360345888501E+000, 6.04360345888506E+000
 1.78467959452805E+000,-6.04925588422636E+000, 6.04925588422639E+000
 1.79290018856824E+000,-6.05482114924121E+000, 6.05482114924113E+000
 1.80112078260842E+000,-6.06030051959959E+000, 6.06030051959946E+000
 1.80934137664861E+000,-6.06569524506472E+000, 6.06569524506459E+000
 1.81756197068879E+000,-6.07100655961328E+000, 6.07100655961325E+000
 1.82578256472898E+000,-6.07623568155715E+000, 6.07623568155716E+000
 1.83400315876916E+000,-6.08138381366780E+000, 6.08138381366771E+000
 1.84222375280935E+000,-6.08645214330136E+000, 6.08645214330126E+000
 1.85044434684953E+000,-6.09144184252606E+000, 6.09144184252603E+000
 1.85866494088971E+000,-6.09635406825053E+000, 6.09635406825047E+000
 1.86688553492990E+000,-6.10118996235379E+000, 6.10118996235374E+000
 1.87510612897008E+000,-6.10595065181617E+000, 6.10595065181606E+000
 1.88290539142578E+000,-6.11039882987605E+000, 6.11039882987611E+000
 1.89028332229698E+000,-6.11454617111674E+000, 6.11454617111669E+000
 1.89766125316818E+000,-6.11863545460280E+000, 6.11863545460273E+000
 1.90503918403938E+000,-6.12266745505629E+000, 6.12266745505636E+000
 1.91241711491058E+000,-6.12664293794470E+000, 6.12664293794479E+000
 1.92348401121738E+000,-6.13250184374175E+000, 6.13250184374165E+000
 1.93086194208858E+000,-6.13633932161861E+000, 6.13633932161855E+000
 1.93823987295978E+000,-6.14012288933128E+000, 6.14012288933126E+000
 1.94561780383098E+000,-6.14385327168492E+000, 6.14385327168485E+000
 1.95299573470218E+000,-6.14753118466842E+000, 6.14753118466841E+000
 1.96037366557338E+000,-6.15115733553506E+000, 6.15115733553506E+000
 1.97144056188018E+000,-6.15650103370173E+000, 6.15650103370165E+000
 1.97881849275138E+000,-6.16000081690637E+000, 6.16000081690627E+000
 1.98619642362258E+000,-6.16345124574781E+000, 6.16345124574772E+000
