s,m/s,m/s,Pa,m/s,,,,
Time,"u-vel","w-vel","pres","error","iter","scarc-iter","scarc-rate","scarc-res"
 2.1400000E-001, 2.9284775E-001, 3.3877937E-001, 4.0628036E-001, 2.2204460E-016, 1.0000000E+000, 3.8000000E+001, 5.2566420E-001, 7.3359295E-009
 2.1600000E-001, 2.9350721E-001, 3.3957780E-001, 4.0643480E-001, 5.5511151E-017, 1.0000000E+000, 3.8000000E+001, 5.2577330E-001, 7.3973776E-009
 2.1800000E-001, 2.9416717E-001, 3.4037733E-001, 4.0658110E-001, 5.5511151E-017, 1.0000000E+000, 3.8000000E+001, 5.2592030E-001, 7.4848282E-009
 2.2000000E-001, 2.9482754E-001, 3.4117790E-001, 4.0671961E-001, 1.1102230E-016, 1.0000000E+000, 3.8000000E+001, 5.2610275E-001, 7.5994990E-009
 2.2200000E-001, 2.9548829E-001, 3.4197947E-001, 4.0685071E-001, 5.5511151E-017, 1.0000000E+000, 3.8000000E+001, 5.2630420E-001, 7.7348956E-009
 2.2400000E-001, 2.9614935E-001, 3.4278200E-001, 4.0697484E-001, 1.1102230E-016, 1.0000000E+000, 3.8000000E+001, 5.2651062E-001, 7.8852676E-009
 2.2600000E-001, 2.9681068E-001, 3.4358546E-001, 4.0709245E-001, 1.1102230E-016, 1.0000000E+000, 3.8000000E+001, 5.2671324E-001, 8.0471053E-009
 2.2800000E-001, 2.9747220E-001, 3.4438981E-001, 4.0720402E-001, 5.5511151E-017, 1.0000000E+000, 3.8000000E+001, 5.2690775E-001, 8.2188181E-009
 2.3000000E-001, 2.9813387E-001, 3.4519503E-001, 4.0731006E-001, 0.0000000E+000, 1.0000000E+000, 3.8000000E+001, 5.2709305E-001, 8.4000860E-009
 2.3200000E-001, 2.9879562E-001, 3.4600109E-001, 4.0741111E-001, 1.1102230E-016, 1.0000000E+000, 3.8000000E+001, 5.2726686E-001, 8.5893204E-009
 2.3400000E-001, 2.9945740E-001, 3.4680798E-001, 4.0750769E-001, 1.1102230E-016, 1.0000000E+000, 3.8000000E+001, 5.2732759E-001, 8.7216588E-009
 2.3600000E-001, 3.0011915E-001, 3.4761567E-001, 4.0760038E-001, 1.1102230E-016, 1.0000000E+000, 3.8000000E+001, 5.2765235E-001, 9.0350000E-009
 2.3800000E-001, 3.0078080E-001, 3.4842417E-001, 4.0768972E-001, 0.0000000E+000, 1.0000000E+000, 3.8000000E+001, 5.2782869E-001, 9.2671994E-009
 2.4000000E-001, 3.0144230E-001, 3.4923345E-001, 4.0777629E-001, 5.5511151E-017, 1.0000000E+000, 3.8000000E+001, 5.2791522E-001, 9.4492283E-009
 2.4200000E-001, 3.0210358E-001, 3.5004351E-001, 4.0786065E-001, 1.1102230E-016, 1.0000000E+000, 3.8000000E+001, 5.2681905E-001, 8.8505105E-009
 2.4400000E-001, 3.0276459E-001, 3.5085435E-001, 4.0794336E-001, 5.5511151E-017, 1.0000000E+000, 3.8000000E+001, 5.2486865E-001, 7.7922150E-009
 2.4600000E-001, 3.0342526E-001, 3.5166597E-001, 4.0802497E-001, 5.5511151E-017, 1.0000000E+000, 3.9000000E+001, 5.2295375E-001, 3.5945377E-009
 2.4800000E-001, 3.0408554E-001, 3.5247835E-001, 4.0810602E-001, 1.1102230E-016, 1.0000000E+000, 3.9000000E+001, 5.2337812E-001, 3.7589695E-009
 2.5000000E-001, 3.0474537E-001, 3.5329150E-001, 4.0818705E-001, 5.5511151E-017, 1.0000000E+000, 3.9000000E+001, 5.2373000E-001, 3.9076617E-009
 2.5200000E-001, 3.0419526E-001, 3.5271133E-001,-3.2453106E-001, 1.1102230E-016, 1.0000000E+000, 4.0000000E+001, 5.3611185E-001, 6.8465502E-009
 2.5400000E-001, 3.0364472E-001, 3.5213193E-001,-3.2469789E-001, 1.1102230E-016, 1.0000000E+000, 3.8000000E+001, 5.2713610E-001, 8.9944397E-009
 2.5600000E-001, 3.0309365E-001, 3.5155330E-001,-3.2487814E-001, 2.2204460E-016, 1.0000000E+000, 3.8000000E+001, 5.2731114E-001, 9.1120830E-009
 2.5800000E-001, 3.0254199E-001, 3.5097541E-001,-3.2505777E-001, 5.5511151E-017, 1.0000000E+000, 3.8000000E+001, 5.2750759E-001, 9.2360460E-009
 2.6000000E-001, 3.0198967E-001, 3.5039824E-001,-3.2523640E-001, 5.5511151E-017, 1.0000000E+000, 3.8000000E+001, 5.2771567E-001, 9.3614771E-009
 2.6200000E-001, 3.0143662E-001, 3.4982177E-001,-3.2541373E-001, 5.5511151E-017, 1.0000000E+000, 3.8000000E+001, 5.2792084E-001, 9.4805093E-009
 2.6400000E-001, 3.0088278E-001, 3.4924597E-001,-3.2558946E-001, 1.1102230E-016, 1.0000000E+000, 3.8000000E+001, 5.2810582E-001, 9.5834504E-009
 2.6600000E-001, 3.0032810E-001, 3.4867082E-001,-3.2576332E-001, 5.5511151E-017, 1.0000000E+000, 3.8000000E+001, 5.2825294E-001, 9.6603181E-009
