s,m/s,m/s,Pa,m/s,,,,
Time,"u-vel","w-vel","pres","error","iter","scarc-iter","scarc-rate","scarc-res"
 1.8000000E-001, 2.7086673E-001, 3.1288622E-001, 1.0595936E+000, 8.3458889E-006, 6.0000000E+000, 3.5000000E+001, 5.6434752E-001, 3.1798941E-009
 1.8200000E-001, 2.7260065E-001, 3.1491129E-001, 1.0600811E+000, 8.2658297E-006, 6.0000000E+000, 3.5000000E+001, 5.6382485E-001, 3.0528658E-009
 1.8400000E-001, 2.7433560E-001, 3.1693844E-001, 1.0605655E+000, 8.1782768E-006, 6.0000000E+000, 3.5000000E+001, 5.6317091E-001, 2.9047052E-009
 1.8600000E-001, 2.7607154E-001, 3.1896764E-001, 1.0610464E+000, 8.0847565E-006, 6.0000000E+000, 3.4000000E+001, 5.7407183E-001, 9.8019534E-009
 1.8800000E-001, 2.7780847E-001, 3.2099885E-001, 1.0615233E+000, 7.9869916E-006, 6.0000000E+000, 3.4000000E+001, 5.7340744E-001, 9.3282532E-009
 1.9000000E-001, 2.7954635E-001, 3.2303202E-001, 1.0619959E+000, 7.8868962E-006, 6.0000000E+000, 3.4000000E+001, 5.7245651E-001, 8.7257192E-009
 1.9200000E-001, 2.8128517E-001, 3.2506711E-001, 1.0624638E+000, 7.7865668E-006, 6.0000000E+000, 3.4000000E+001, 5.7102708E-001, 7.9328717E-009
 1.9400000E-001, 2.8302490E-001, 3.2710407E-001, 1.0629267E+000, 7.6882702E-006, 6.0000000E+000, 3.4000000E+001, 5.6909499E-001, 6.9999716E-009
 1.9600000E-001, 2.8476552E-001, 3.2914284E-001, 1.0633844E+000, 7.5944267E-006, 6.0000000E+000, 3.4000000E+001, 5.6691419E-001, 6.0872539E-009
 1.9800000E-001, 2.8650701E-001, 3.3118337E-001, 1.0638366E+000, 7.5075891E-006, 6.0000000E+000, 3.4000000E+001, 5.6486118E-001, 5.3373500E-009
 2.0000000E-001, 2.8824934E-001, 3.3322561E-001, 1.0642830E+000, 7.4304140E-006, 6.0000000E+000, 3.4000000E+001, 5.6351501E-001, 4.8886036E-009
 2.0200000E-001, 2.8890397E-001, 3.3401478E-001, 4.0515596E-001, 7.6007140E-006, 9.0000000E+000, 3.6000000E+001, 5.8596852E-001, 7.0549332E-009
 2.0400000E-001, 2.8955945E-001, 3.3480548E-001, 4.0537687E-001, 5.8280312E-006, 6.0000000E+000, 3.3000000E+001, 5.6395477E-001, 7.2593884E-009
 2.0600000E-001, 2.9021573E-001, 3.3559762E-001, 4.0557558E-001, 6.1014461E-006, 6.0000000E+000, 3.3000000E+001, 5.6033651E-001, 6.0778942E-009
 2.0800000E-001, 2.9087275E-001, 3.3639114E-001, 4.0576526E-001, 5.8330464E-006, 6.0000000E+000, 3.3000000E+001, 5.6459879E-001, 7.5561851E-009
 2.1000000E-001, 2.9153046E-001, 3.3718598E-001, 4.0594584E-001, 5.7035135E-006, 6.0000000E+000, 3.4000000E+001, 5.6640099E-001, 4.6877968E-009
 2.1200000E-001, 2.9218881E-001, 3.3798208E-001, 4.0611746E-001, 5.6027208E-006, 6.0000000E+000, 3.4000000E+001, 5.6719074E-001, 4.8681918E-009
 2.1400000E-001, 2.9284774E-001, 3.3877937E-001, 4.0628037E-001, 5.5220783E-006, 6.0000000E+000, 3.4000000E+001, 5.7024642E-001, 5.8088967E-009
 2.1600000E-001, 2.9350721E-001, 3.3957780E-001, 4.0643481E-001, 5.4644982E-006, 6.0000000E+000, 3.4000000E+001, 5.7286213E-001, 6.7734306E-009
 2.1800000E-001, 2.9416716E-001, 3.4037733E-001, 4.0658111E-001, 5.4317303E-006, 6.0000000E+000, 3.4000000E+001, 5.7400390E-001, 7.2643286E-009
