s,m/s,m/s,Pa,m/s,,,,
Time,"u-vel","w-vel","pres","error","iter","scarc-iter","scarc-rate","scarc-res"
 1.6600000E-001, 2.5875971E-001, 2.9877164E-001, 1.0561297E+000, 5.5035825E-004, 1.0000000E+000, 4.1000000E+001, 5.4956893E-001, 5.7639377E-009
 1.6800000E-001, 2.6048589E-001, 3.0078133E-001, 1.0566288E+000, 5.6110201E-004, 1.0000000E+000, 4.1000000E+001, 5.4932010E-001, 5.7598342E-009
 1.7000000E-001, 2.6221323E-001, 3.0279331E-001, 1.0571266E+000, 6.0680007E-004, 1.0000000E+000, 4.1000000E+001, 5.4902779E-001, 5.7753689E-009
 1.7200000E-001, 2.6394171E-001, 3.0480752E-001, 1.0576228E+000, 6.3989258E-004, 1.0000000E+000, 4.1000000E+001, 5.4867784E-001, 5.7558866E-009
 1.7400000E-001, 2.6567133E-001, 3.0682393E-001, 1.0581177E+000, 6.4658136E-004, 1.0000000E+000, 4.1000000E+001, 5.4835929E-001, 5.7194860E-009
 1.7600000E-001, 2.6740205E-001, 3.0884253E-001, 1.0586115E+000, 6.3616822E-004, 1.0000000E+000, 4.1000000E+001, 5.4804965E-001, 5.6667308E-009
 1.7800000E-001, 2.6913386E-001, 3.1086330E-001, 1.0591038E+000, 6.2253603E-004, 1.0000000E+000, 4.1000000E+001, 5.4771922E-001, 5.6005212E-009
 1.8000000E-001, 2.7086673E-001, 3.1288624E-001, 1.0595941E+000, 6.1327089E-004, 1.0000000E+000, 4.1000000E+001, 5.4737336E-001, 5.5296197E-009
 1.8200000E-001, 2.7260065E-001, 3.1491131E-001, 1.0600818E+000, 6.0864697E-004, 1.0000000E+000, 4.1000000E+001, 5.4702190E-001, 5.4575497E-009
 1.8400000E-001, 2.7433559E-001, 3.1693846E-001, 1.0605663E+000, 6.0557147E-004, 1.0000000E+000, 4.1000000E+001, 5.4666135E-001, 5.3804623E-009
 1.8600000E-001, 2.7607153E-001, 3.1896767E-001, 1.0610471E+000, 6.0136485E-004, 1.0000000E+000, 4.1000000E+001, 5.4627528E-001, 5.2902412E-009
 1.8800000E-001, 2.7780845E-001, 3.2099888E-001, 1.0615240E+000, 5.9520521E-004, 1.0000000E+000, 4.1000000E+001, 5.4583645E-001, 5.1763905E-009
 1.9000000E-001, 2.7954633E-001, 3.2303205E-001, 1.0619965E+000, 5.8767106E-004, 1.0000000E+000, 4.1000000E+001, 5.4530633E-001, 5.0260374E-009
 1.9200000E-001, 2.8128515E-001, 3.2506714E-001, 1.0624644E+000, 5.7971319E-004, 1.0000000E+000, 4.1000000E+001, 5.4463066E-001, 4.8230012E-009
 1.9400000E-001, 2.8302488E-001, 3.2710409E-001, 1.0629273E+000, 5.7198790E-004, 1.0000000E+000, 4.1000000E+001, 5.4370070E-001, 4.5367199E-009
 1.9600000E-001, 2.8476550E-001, 3.2914285E-001, 1.0633849E+000, 5.6474901E-004, 1.0000000E+000, 4.1000000E+001, 5.4203497E-001, 4.0332899E-009
 1.9800000E-001, 2.8650699E-001, 3.3118338E-001, 1.0638370E+000, 5.5805154E-004, 1.0000000E+000, 4.0000000E+001, 5.4348755E-001, 8.3443359E-009
 2.0000000E-001, 2.8824932E-001, 3.3322562E-001, 1.0642834E+000, 5.5197056E-004, 1.0000000E+000, 4.0000000E+001, 5.4352477E-001, 8.4254268E-009
 2.0200000E-001, 2.8890412E-001, 3.3401344E-001, 4.0509526E-001, 1.5092660E-003, 1.0000000E+000, 4.2000000E+001, 5.5347677E-001, 7.1467668E-009
 2.0400000E-001, 2.8955963E-001, 3.3480437E-001, 4.0536593E-001, 1.2995928E-003, 1.0000000E+000, 4.1000000E+001, 5.3835085E-001, 3.7993648E-009
 2.0600000E-001, 2.9021579E-001, 3.3559734E-001, 4.0558705E-001, 4.1977516E-004, 1.0000000E+000, 4.1000000E+001, 5.4309771E-001, 4.2076529E-009
 2.0800000E-001, 2.9087271E-001, 3.3639144E-001, 4.0577516E-001, 7.2853647E-004, 1.0000000E+000, 4.0000000E+001, 5.4253915E-001, 7.3007561E-009
 2.1000000E-001, 2.9153039E-001, 3.3718637E-001, 4.0594590E-001, 8.3598026E-004, 1.0000000E+000, 4.0000000E+001, 5.4230148E-001, 7.4346087E-009
 2.1200000E-001, 2.9218878E-001, 3.3798227E-001, 4.0611077E-001, 6.5208253E-004, 1.0000000E+000, 4.1000000E+001, 5.4315791E-001, 4.1916359E-009
 2.1400000E-001, 2.9284776E-001, 3.3877935E-001, 4.0627288E-001, 4.4108610E-004, 1.0000000E+000, 4.1000000E+001, 5.4566643E-001, 4.9985241E-009
 2.1600000E-001, 2.9350727E-001, 3.3957768E-001, 4.0643000E-001, 3.4135214E-004, 1.0000000E+000, 4.1000000E+001, 5.4669824E-001, 5.4154855E-009
 2.1800000E-001, 2.9416723E-001, 3.4037720E-001, 4.0657909E-001, 3.4938212E-004, 1.0000000E+000, 4.1000000E+001, 5.4715662E-001, 5.6009674E-009
 2.2000000E-001, 2.9482761E-001, 3.4117781E-001, 4.0671883E-001, 4.0069000E-004, 1.0000000E+000, 4.1000000E+001, 5.4735213E-001, 5.6801778E-009
 2.2200000E-001, 2.9548836E-001, 3.4197940E-001, 4.0684972E-001, 4.6082621E-004, 1.0000000E+000, 4.1000000E+001, 5.4744947E-001, 5.7401872E-009
 2.2400000E-001, 2.9614943E-001, 3.4278193E-001, 4.0697306E-001, 4.9520367E-004, 1.0000000E+000, 4.1000000E+001, 5.4756247E-001, 5.8226068E-009
 2.2600000E-001, 2.9681077E-001, 3.4358536E-001, 4.0709002E-001, 5.1332422E-004, 1.0000000E+000, 4.1000000E+001, 5.4768784E-001, 5.9209687E-009
 2.2800000E-001, 2.9747231E-001, 3.4438969E-001, 4.0720130E-001, 5.3120746E-004, 1.0000000E+000, 4.1000000E+001, 5.4775162E-001, 6.0020861E-009
 2.3000000E-001, 2.9813400E-001, 3.4519488E-001, 4.0730728E-001, 5.5741041E-004, 1.0000000E+000, 4.1000000E+001, 5.4767990E-001, 6.0319552E-009
 2.3200000E-001, 2.9879577E-001, 3.4600093E-001, 4.0740829E-001, 5.9178592E-004, 1.0000000E+000, 4.1000000E+001, 5.4741775E-001, 5.9855164E-009
 2.3400000E-001, 2.9945756E-001, 3.4680781E-001, 4.0750477E-001, 6.3010380E-004, 1.0000000E+000, 4.1000000E+001, 5.4691585E-001, 5.8426659E-009
 2.3600000E-001, 3.0011932E-001, 3.4761550E-001, 4.0759728E-001, 6.6850022E-004, 1.0000000E+000, 4.1000000E+001, 5.4609984E-001, 5.5776026E-009
 2.3800000E-001, 3.0078098E-001, 3.4842399E-001, 4.0768642E-001, 7.0519424E-004, 1.0000000E+000, 4.1000000E+001, 5.4527627E-001, 5.3263898E-009
