s,m3/s,m3/s,m/s,
Time,"flow_in","flow_out","error","iter"
 9.7196379E+000, 9.9988756E-001, 9.8259239E-001, 9.5920532E-004, 8.0000000E+000
 9.8082966E+000, 9.9989117E-001, 9.8201526E-001, 8.8791515E-004, 8.0000000E+000
 9.8969553E+000, 9.9989600E-001, 9.8123789E-001, 8.1553135E-004, 8.0000000E+000
 9.9856140E+000, 9.9990064E-001, 9.8024305E-001, 8.0363940E-004, 8.0000000E+000
 1.0074273E+001, 9.9990452E-001, 9.7899694E-001, 9.7962637E-004, 7.0000000E+000
 1.0162931E+001, 9.9990760E-001, 9.7758330E-001, 9.1341972E-004, 9.0000000E+000
 1.0251590E+001, 9.9991160E-001, 9.7597725E-001, 9.1627786E-004, 9.0000000E+000
 1.0340249E+001, 9.9991798E-001, 9.7412470E-001, 9.3794077E-004, 9.0000000E+000
 1.0428907E+001, 9.9992698E-001, 9.7212666E-001, 9.4711883E-004, 9.0000000E+000
 1.0517566E+001, 9.9993683E-001, 9.7018468E-001, 9.2329372E-004, 1.0000000E+001
 1.0606225E+001, 9.9994540E-001, 9.6852252E-001, 9.9880406E-004, 1.2000000E+001
 1.0694883E+001, 9.9994857E-001, 9.6799601E-001, 9.9930897E-004, 2.2000000E+001
 1.0783542E+001, 9.9994415E-001, 9.6855996E-001, 9.9826549E-004, 2.6000000E+001
 1.0872201E+001, 9.9993507E-001, 9.7007410E-001, 9.9286959E-004, 2.5000000E+001
 1.0960860E+001, 9.9992660E-001, 9.7224628E-001, 9.9659005E-004, 2.2000000E+001
 1.1049518E+001, 9.9992241E-001, 9.7492163E-001, 9.9989724E-004, 2.0000000E+001
 1.1138177E+001, 9.9992384E-001, 9.7809335E-001, 9.9535929E-004, 1.9000000E+001
 1.1226836E+001, 9.9993008E-001, 9.8181580E-001, 9.9459849E-004, 1.8000000E+001
 1.1315494E+001, 9.9993972E-001, 9.8616047E-001, 9.8120063E-004, 1.7000000E+001
 1.1404153E+001, 9.9995140E-001, 9.9113760E-001, 9.7866312E-004, 1.5000000E+001
 1.1492812E+001, 9.9996462E-001, 9.9680354E-001, 9.9400934E-004, 1.3000000E+001
 1.1581470E+001, 9.9997965E-001, 1.0032112E+000, 9.9478039E-004, 1.2000000E+001
 1.1670129E+001, 9.9999783E-001, 1.0103049E+000, 9.7001715E-004, 1.5000000E+001
