s,m3/s,m3/s,m/s,
Time,"flow_in","flow_out","error","iter"
 1.1652473E+001, 1.0000739E+000, 1.0111857E+000, 9.1717029E-004, 9.0000000E+000
 1.1742012E+001, 1.0000953E+000, 1.0203165E+000, 8.7646982E-004, 8.0000000E+000
 1.1831551E+001, 1.0001177E+000, 1.0292243E+000, 9.2601934E-004, 9.0000000E+000
 1.1921089E+001, 1.0001402E+000, 1.0377155E+000, 9.7733086E-004, 9.0000000E+000
 1.2010628E+001, 1.0001621E+000, 1.0456579E+000, 9.6823165E-004, 1.1000000E+001
 1.2100167E+001, 1.0001823E+000, 1.0526951E+000, 9.7934787E-004, 1.4000000E+001
 1.2189705E+001, 1.0002013E+000, 1.0576625E+000, 9.9556187E-004, 2.4000000E+001
 1.2279244E+001, 1.0002205E+000, 1.0599119E+000, 9.9714226E-004, 2.8000000E+001
 1.2368782E+001, 1.0002389E+000, 1.0605444E+000, 9.9505453E-004, 1.9000000E+001
 1.2458321E+001, 1.0002548E+000, 1.0601796E+000, 9.8213331E-004, 1.8000000E+001
 1.2547860E+001, 1.0002668E+000, 1.0591172E+000, 9.7879600E-004, 1.7000000E+001
 1.2637398E+001, 1.0002755E+000, 1.0575831E+000, 9.7111424E-004, 1.5000000E+001
 1.2726937E+001, 1.0002819E+000, 1.0558126E+000, 9.7126014E-004, 1.3000000E+001
 1.2816475E+001, 1.0002877E+000, 1.0539894E+000, 9.4116188E-004, 1.2000000E+001
 1.2906014E+001, 1.0002943E+000, 1.0521046E+000, 9.1597040E-004, 1.1000000E+001
 1.2995553E+001, 1.0003026E+000, 1.0500293E+000, 9.3386700E-004, 1.0000000E+001
 1.3085091E+001, 1.0003132E+000, 1.0476747E+000, 9.3835139E-004, 1.0000000E+001
 1.3174630E+001, 1.0003252E+000, 1.0450777E+000, 9.2106311E-004, 1.0000000E+001
 1.3264168E+001, 1.0003366E+000, 1.0424390E+000, 9.5249155E-004, 9.0000000E+000
 1.3353707E+001, 1.0003454E+000, 1.0398656E+000, 9.3604964E-004, 9.0000000E+000
 1.3443246E+001, 1.0003497E+000, 1.0374147E+000, 9.4673615E-004, 9.0000000E+000
 1.3532784E+001, 1.0003482E+000, 1.0351357E+000, 9.4181172E-004, 9.0000000E+000
 1.3622323E+001, 1.0003405E+000, 1.0331108E+000, 9.8046935E-004, 8.0000000E+000
 1.3711862E+001, 1.0003265E+000, 1.0313965E+000, 9.5247662E-004, 8.0000000E+000
 1.3801400E+001, 1.0003054E+000, 1.0300461E+000, 9.3839353E-004, 9.0000000E+000
 1.3890939E+001, 1.0002766E+000, 1.0290215E+000, 9.8106391E-004, 9.0000000E+000
 1.3980477E+001, 1.0002386E+000, 1.0282024E+000, 9.4507698E-004, 1.0000000E+001
 1.4070016E+001, 1.0001924E+000, 1.0273082E+000, 9.5551868E-004, 9.0000000E+000
 1.4159555E+001, 1.0001395E+000, 1.0261222E+000, 9.3813928E-004, 9.0000000E+000
 1.4249093E+001, 1.0000831E+000, 1.0245137E+000, 9.5867618E-004, 8.0000000E+000
