s,kW/m2,(kg/m2/s)
Time,HRRPUA,MLRPUA
436,90.88493323,0.009478896
437,90.86013875,0.008988663
438,90.65452383,0.008582328
439,89.73579272,0.008555351
440,87.69859785,0.009040337
441,90.19788484,0.00820488
442,90.48928645,0.00819562
443,89.94127928,0.009097342
444,90.50151178,0.009144897
445,89.61507501,0.009752784
446,88.6205322,0.009618254
447,89.17766896,0.008169646
448,88.52230242,0.009419457
449,88.22137335,0.011294341
450,87.13900271,0.012045833
451,87.0168713,0.00871963
452,89.25413824,0.004686768
453,89.96134266,0.005006369
454,89.51468472,0.006828683
455,86.5610597,0.010079905
456,88.15796917,0.01161777
457,88.36529507,0.011209603
458,86.59861988,0.008457026
459,87.26423068,0.005346594
460,86.69881502,0.00466716
461,88.59059507,0.006466469
462,86.31611207,0.00640806
463,88.00222111,0.006971936
464,89.8803964,0.010161963
465,87.33797855,0.012434857
466,88.3487779,0.012719793
467,87.16359236,0.010365306
468,88.27508904,0.009305873
469,88.05445475,0.008961435
470,87.56185339,0.008251112
471,87.20185476,0.008719093
472,86.41656678,0.008591041
473,87.75040295,0.007100393
474,88.7492855,0.0083119
475,88.8936005,0.009698265
476,87.56261883,0.009399711
477,86.42467115,0.007547782
478,86.11944208,0.006692349
479,88.38571769,0.006980785
480,89.43898402,0.008241491
481,89.10483804,0.008952281
482,88.4910265,0.009630518
483,87.38449626,0.010356225
484,85.60679147,0.008295877
485,85.48028959,0.008677313
486,86.01879705,0.008259512
487,86.3226413,0.007854968
488,85.09977604,0.00771596
489,84.06007429,0.007681514
490,86.78184676,0.010391403
491,86.04134791,0.010511435
492,86.06227445,0.009427269
493,87.2697218,0.008510879
494,85.89605056,0.009576056
495,84.37131505,0.010930364
496,89.3635726,0.00964397
497,90.11416789,0.005098099
498,88.40125392,0.004405779
499,87.85763497,0.008410894
500,87.76264636,0.010596644
501,89.15976979,0.008161771
502,87.87324331,0.006067267
503,87.13202366,0.006571672
504,87.19218243,0.007605505
505,85.71963447,0.008436658
506,86.52710057,0.009186865
507,86.57985054,0.009747467
508,86.5644127,0.007878196
509,88.02673019,0.008041937
510,88.73461037,0.007299601
511,87.01072435,0.007042908
512,84.75937618,0.008431143
513,87.51003222,0.010402165
514,85.17507924,0.010179421
515,87.49188936,0.008189744
516,86.23694337,0.008990228
517,83.36721676,0.007351769
518,85.43093444,0.006798661
519,87.34914265,0.008223206
520,88.51130978,0.01109177
521,86.10698848,0.012235084
522,86.72768543,0.0089852
523,86.61081212,0.007028306
524,85.28523997,0.005087327
525,86.97193463,0.006365193
526,87.3374283,0.009232205
527,84.93735792,0.011434433
528,86.86389493,0.011127445
529,87.2282117,0.007429996
530,87.12788522,0.00568766
531,85.40976119,0.007359487
532,86.0344282,0.009556206
533,85.96659429,0.010367355
534,85.58116232,0.009023756
535,88.12535202,0.008154302
536,88.82626672,0.008501408
537,87.71410596,0.00739792
538,86.42341944,0.006816535
539,85.5093577,0.006980194
540,83.85712822,0.007825374
541,85.17077851,0.009646471
542,85.10503233,0.009241236
543,85.00474793,0.008801537
544,85.40866634,0.007597225
545,85.9138734,0.007612849
546,85.58713546,0.008865554
547,87.69924007,0.009289454
548,84.34720872,0.008681847
549,85.07808609,0.006782287
550,85.15288467,0.006120469
551,84.49154692,0.005554123
552,86.39681071,0.005010963
553,84.3133015,0.006874067
554,87.44637137,0.009062186
555,87.00284755,0.011350126
556,86.14976732,0.012806382
557,84.19904986,0.01096859
558,84.26874949,0.009569259
559,83.57118364,0.007195774
560,81.68858726,0.008007541
561,84.35359598,0.009712154
562,85.08101211,0.010525383
563,84.60746366,0.008974236
564,83.05159029,0.005231863
565,82.96140224,0.005112475
566,83.96745787,0.005931495
567,83.56629564,0.00765083
568,85.03389618,0.009670337
569,87.24123008,0.011209694
570,84.01051426,0.008642094
571,83.06673461,0.005465683
572,84.24469034,0.006760976
573,85.63719603,0.010302602
574,85.05826208,0.009803947
575,82.51699988,0.006883541
576,83.07907696,0.00663097
577,82.41865979,0.008499859
578,84.49390354,0.010429343
579,82.37831361,0.010295441
580,84.63700618,0.009037311
581,85.10408543,0.006486457
582,85.38313947,0.003630926
583,86.42450533,0.003939269
584,85.21968476,0.00612615
585,86.20489463,0.009254371
586,86.55751378,0.012212962
587,87.84177545,0.012071044
588,88.15434482,0.009834974
589,87.4510706,0.006353736
590,86.49518405,0.004293913
591,87.20807484,0.005791447
592,87.80373802,0.009051348
593,88.63814245,0.010047807
594,85.8330636,0.008113091
595,85.03182973,0.005399145
596,87.06933275,0.00734665
597,87.92823538,0.009295111
598,87.5770003,0.008432092
599,87.13038069,0.006980889
600,84.98934052,0.008242845
601,86.17365114,0.009025415
602,87.01828785,0.008071383
603,84.08333389,0.00813175
604,85.1637913,0.007965831
605,84.13742961,0.010628733
606,85.42402269,0.009860467
607,86.62881383,0.007893298
608,85.52963323,0.007410313
609,84.94910264,0.00683037
610,84.67054822,0.009024419
611,82.83853154,0.008767063
612,87.07208951,0.008587799
613,85.84982428,0.008957551
614,85.364547,0.008165564
615,86.53869433,0.00694414
616,86.97357755,0.006625189
617,85.459772,0.007347166
618,83.51353947,0.007971886
619,84.37355988,0.009420139
620,85.33729994,0.008337902
621,85.91590084,0.007308704
622,86.53308903,0.007107777
623,86.15284714,0.008207136
624,85.64204218,0.010101112
625,84.93546972,0.009031938
626,85.86393049,0.006964816
627,85.51694729,0.005585847
628,85.07726169,0.007173146
629,87.18671512,0.009224598
630,87.05501341,0.009423476
631,86.92562144,0.008241849
632,84.89901489,0.006955782
633,85.70592599,0.007693612
634,87.24938937,0.007810146
635,88.71964548,0.008085838
636,88.60655607,0.007880204
637,88.57741781,0.007185225
638,87.57144633,0.006692449
639,85.48325971,0.006578441
640,84.4588049,0.007630398
641,87.029986,0.010117015
642,85.72901947,0.009935967
643,86.17587352,0.008542213
644,86.43007977,0.005233079
645,85.15944507,0.00578229
646,83.18331341,0.007734681
647,85.66795708,0.008610677
648,84.99910178,0.008494935
649,85.71900898,0.006433189
650,86.81103761,0.009218002
651,84.20538638,0.011510165
652,82.98476336,0.011630075
653,83.9096039,0.008286589
654,85.85138812,0.004557667
655,83.33633576,0.00368657
656,85.93609049,0.00688016
657,85.98872689,0.010520554
658,85.81125746,0.011654204
659,82.7310264,0.009298624
660,84.9204335,0.004372716
661,87.09012398,0.00328087
662,86.74490045,0.006306049
663,85.41748835,0.009386554
664,86.26405294,0.009542647
665,87.1355555,0.007964527
666,86.19294574,0.007607259
667,84.56827596,0.008445026
668,84.07584327,0.007834468
669,85.66069158,0.006589279
670,85.93108006,0.004773096
671,86.79080243,0.00646064
672,86.62670261,0.00993635
673,85.10228264,0.009216883
674,88.55669155,0.00654551
675,86.98431455,0.005553978
676,87.63689483,0.008049516
677,88.71453148,0.009971575
678,85.09393855,0.009759804
679,84.39229346,0.008902793
680,85.60831521,0.008358877
681,86.44651926,0.007831435
682,85.27567559,0.008481184
683,89.60710852,0.007110382
684,89.24041395,0.005833641
685,87.8737036,0.005476254
686,87.78661667,0.004086978
687,86.318843,0.006062066
688,87.4022193,0.009474733
689,89.07232585,0.011664373
690,85.37843153,0.009871053
691,87.68931528,0.007065048
692,85.35941548,0.007800321
693,84.79875204,0.009344834
694,87.03602055,0.008943605
695,88.41597687,0.007138138
696,86.19583295,0.006619074
697,88.55505764,0.007813188
698,87.77438687,0.00736952
699,88.6268486,0.006424381
700,89.41505582,0.006669583
701,89.40892622,0.008697518
702,88.63671514,0.01002253
703,87.05722718,0.01071234
704,87.93870835,0.008216554
705,89.52771,0.004874274
706,90.97548789,0.004458974
707,91.8769668,0.005899262
708,89.56763752,0.008727539
709,87.99167097,0.007706772
710,88.33237102,0.007599086
711,88.57043093,0.008575412
712,87.98512855,0.009697461
713,90.12875786,0.010233063
714,89.06783008,0.008686099
715,87.51444985,0.006681451
716,88.39068661,0.006940935
717,89.15724484,0.008184854
718,90.26973331,0.008785948
719,90.38434716,0.008441566
720,89.2244446,0.008148944
721,89.0261205,0.008888769
722,88.93563,0.007232651
723,90.75650357,0.006953158
724,89.53073082,0.008552696
725,92.80661632,0.008664816
726,92.09689829,0.007268715
727,89.55625193,0.005068624
728,89.87846606,0.003953774
729,90.62519106,0.005420255
730,90.23525025,0.00771217
731,90.16161063,0.010701411
732,90.76260295,0.01195674
733,90.8781524,0.009732158
734,90.54529115,0.008300688
735,90.89350807,0.008343109
736,90.05436101,0.007649167
737,90.51681255,0.006978501
738,92.99926684,0.007344391
739,93.97562511,0.008370557
740,93.37155398,0.008428441
741,92.73636091,0.006517468
742,95.29338159,0.006570419
743,93.97008484,0.007893109
744,91.75002278,0.007761428
745,90.79369277,0.007514288
746,94.33175671,0.007748762
747,93.78771967,0.008088911
748,92.62374607,0.007730326
749,93.23354163,0.007377831
750,93.48028338,0.00915416
751,92.16805964,0.011379613
752,92.92674715,0.00980768
753,95.28828433,0.005437707
754,93.97459847,0.003595371
755,93.72884005,0.006818027
756,93.11209849,0.008973231
757,95.02147856,0.007205926
758,96.92849756,0.007572442
759,95.76784536,0.0084944
760,95.83226357,0.008683616
761,95.50508781,0.008425198
762,95.18985373,0.00831914
763,95.3756112,0.008282834
764,94.87034158,0.006814728
765,95.64414195,0.00676403
766,98.20419953,0.009403029
767,96.81745597,0.010825908
768,97.09527449,0.008589649
769,97.45085786,0.007221437
770,95.14929934,0.007607944
771,95.54899753,0.009074079
772,94.67693422,0.009394749
773,94.87804084,0.008761812
774,97.24069757,0.009832067
775,95.84686957,0.010132466
776,96.94321248,0.010028057
777,96.81185244,0.009196883
778,98.41408658,0.006734443
779,96.72176264,0.003730832
780,97.00340064,0.003267163
781,98.58624098,0.006601782
782,99.11648617,0.008327611
783,100.6369156,0.009306319
784,99.74028896,0.009246638
785,101.2358524,0.009364863
786,99.0702838,0.010316748
787,99.24331931,0.00989786
788,100.5496006,0.009221166
789,102.1511943,0.007786765
790,102.5207592,0.008074711
791,101.3943742,0.008034873
792,100.670172,0.006669356
793,104.1632524,0.00585488
794,104.7882076,0.00683969
795,104.326721,0.008736077
796,102.4430892,0.009192804
797,104.1811812,0.008620664
798,103.5905331,0.008027552
799,101.2548563,0.008449997
800,101.4256637,0.009862789
801,101.9944887,0.010015759
802,102.6010404,0.008624736
803,102.6159864,0.007725562
804,104.112085,0.008521594
